Inspiration coded,Setting,Category
LEGO,Medieval,Castle
Real-life,Modern,Small
Historical,Western,History
Architecture/Machinery,Vintage,Building
Architecture/Machinery,Vintage,Vehicle
Real-life,Vintage,History
Historical,Western,Vehicle
Others,Eastern,Building
Others,Fictional,Small
LEGO,Fictional,Pirate
Real-life,Vintage,Factory
Real-life,Modern,Building
Real-life,Modern,Small
Others,Fictional,Castle
Historical,Medieval,History
Real-life,Modern,Building
Historical,Western,Vehicle
LEGO,Medieval,Castle
LEGO,Medieval,History
Others,Eastern,Building
Historical,Medieval,Pirate
Real-life,Fictional,Building
Real-life,Modern,Building
Architecture/Machinery,Fictional,Castle
Real-life,Modern,Small
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
Real-life,,
Others,,
Historical,,
Real-life,,
Historical,,
LEGO,,
LEGO,,
Others,,
Historical,,
Real-life,,
Real-life,,
Architecture/Machinery,,
Real-life,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
Real-life,,
Others,,
Historical,,
Real-life,,
Historical,,
LEGO,,
LEGO,,
Others,,
Historical,,
Real-life,,
Real-life,,
Architecture/Machinery,,
Real-life,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
Real-life,,
Others,,
Historical,,
Real-life,,
Historical,,
LEGO,,
LEGO,,
Others,,
Historical,,
Real-life,,
Real-life,,
Architecture/Machinery,,
Real-life,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
Real-life,,
Others,,
Historical,,
Real-life,,
Historical,,
LEGO,,
LEGO,,
Others,,
Historical,,
Real-life,,
Real-life,,
Architecture/Machinery,,
Real-life,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
Real-life,,
Others,,
Historical,,
Real-life,,
Historical,,
LEGO,,
LEGO,,
Others,,
Historical,,
Real-life,,
Real-life,,
Architecture/Machinery,,
Real-life,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Inspiration coded,,
LEGO,,
Real-life,,
Historical,,
Architecture/Machinery,,
Architecture/Machinery,,
Real-life,,
Historical,,
Others,,
Others,,
LEGO,,
Real-life,,
Real-life,,
