"","category","link","num_pages"
"1","4 Juniors","https://www.bricklink.com/catalogList.asp?catType=M&catString=516",2
"2","4 Juniors","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=516",2
"3","Adventurers","https://www.bricklink.com/catalogList.asp?catType=M&catString=53",2
"4","Adventurers","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=53",2
"5","Agents","https://www.bricklink.com/catalogList.asp?catType=M&catString=609",1
"6","Alpha Team","https://www.bricklink.com/catalogList.asp?catType=M&catString=170",1
"7","Aquazone","https://www.bricklink.com/catalogList.asp?catType=M&catString=54",1
"8","Atlantis","https://www.bricklink.com/catalogList.asp?catType=M&catString=733",1
"9","Avatar","https://www.bricklink.com/catalogList.asp?catType=M&catString=574",1
"10","Back to the Future","https://www.bricklink.com/catalogList.asp?catType=M&catString=918",1
"11","Basic","https://www.bricklink.com/catalogList.asp?catType=M&catString=155",1
"12","Batman I","https://www.bricklink.com/catalogList.asp?catType=M&catString=570",1
"13","Belville","https://www.bricklink.com/catalogList.asp?catType=M&catString=48",5
"14","Belville","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=48",5
"15","Belville","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=48",5
"16","Belville","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=48",5
"17","Belville","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=48",5
"18","Bionicle","https://www.bricklink.com/catalogList.asp?catType=M&catString=273",1
"19","BrickLink","https://www.bricklink.com/catalogList.asp?catType=M&catString=1196",1
"20","Building Bigger Thinking","https://www.bricklink.com/catalogList.asp?catType=M&catString=927",1
"21","Cars","https://www.bricklink.com/catalogList.asp?catType=M&catString=748",1
"22","Castle","https://www.bricklink.com/catalogList.asp?catType=M&catString=9",12
"23","Castle","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=9",12
"24","Castle","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=9",12
"25","Castle","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=9",12
"26","Castle","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=9",12
"27","Castle","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=9",12
"28","Castle","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=9",12
"29","Castle","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=9",12
"30","Castle","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=9",12
"31","Castle","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=9",12
"32","Castle","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=9",12
"33","Castle","https://www.bricklink.com/catalogList.asp?pg=12&catType=M&catString=9",12
"34","Clikits","https://www.bricklink.com/catalogList.asp?catType=M&catString=490",1
"35","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?catType=M&catString=746",14
"36","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=746",14
"37","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=746",14
"38","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=746",14
"39","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=746",14
"40","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=746",14
"41","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=746",14
"42","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=746",14
"43","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=746",14
"44","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=746",14
"45","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=746",14
"46","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=12&catType=M&catString=746",14
"47","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=13&catType=M&catString=746",14
"48","Collectible Minifigures","https://www.bricklink.com/catalogList.asp?pg=14&catType=M&catString=746",14
"49","DC Super Hero Girls","https://www.bricklink.com/catalogList.asp?catType=M&catString=893",1
"50","Dimensions","https://www.bricklink.com/catalogList.asp?catType=M&catString=860",2
"51","Dimensions","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=860",2
"52","Dino","https://www.bricklink.com/catalogList.asp?catType=M&catString=617",1
"53","Dino Attack","https://www.bricklink.com/catalogList.asp?catType=M&catString=563",1
"54","Discovery","https://www.bricklink.com/catalogList.asp?catType=M&catString=482",1
"55","Disney","https://www.bricklink.com/catalogList.asp?catType=M&catString=878",5
"56","Disney","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=878",5
"57","Disney","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=878",5
"58","Disney","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=878",5
"59","Disney","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=878",5
"60","Disney's Mickey Mouse","https://www.bricklink.com/catalogList.asp?catType=M&catString=149",1
"61","Duplo","https://www.bricklink.com/catalogList.asp?catType=M&catString=167",21
"62","Duplo","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=167",21
"63","Duplo","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=167",21
"64","Duplo","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=167",21
"65","Duplo","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=167",21
"66","Duplo","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=167",21
"67","Duplo","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=167",21
"68","Duplo","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=167",21
"69","Duplo","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=167",21
"70","Duplo","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=167",21
"71","Duplo","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=167",21
"72","Duplo","https://www.bricklink.com/catalogList.asp?pg=12&catType=M&catString=167",21
"73","Duplo","https://www.bricklink.com/catalogList.asp?pg=13&catType=M&catString=167",21
"74","Duplo","https://www.bricklink.com/catalogList.asp?pg=14&catType=M&catString=167",21
"75","Duplo","https://www.bricklink.com/catalogList.asp?pg=15&catType=M&catString=167",21
"76","Duplo","https://www.bricklink.com/catalogList.asp?pg=16&catType=M&catString=167",21
"77","Duplo","https://www.bricklink.com/catalogList.asp?pg=17&catType=M&catString=167",21
"78","Duplo","https://www.bricklink.com/catalogList.asp?pg=18&catType=M&catString=167",21
"79","Duplo","https://www.bricklink.com/catalogList.asp?pg=19&catType=M&catString=167",21
"80","Duplo","https://www.bricklink.com/catalogList.asp?pg=20&catType=M&catString=167",21
"81","Duplo","https://www.bricklink.com/catalogList.asp?pg=21&catType=M&catString=167",21
"82","Educational & Dacta","https://www.bricklink.com/catalogList.asp?catType=M&catString=166",1
"83","Elves","https://www.bricklink.com/catalogList.asp?catType=M&catString=843",2
"84","Elves","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=843",2
"85","Exo-Force","https://www.bricklink.com/catalogList.asp?catType=M&catString=568",1
"86","Fabuland","https://www.bricklink.com/catalogList.asp?catType=M&catString=153",2
"87","Fabuland","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=153",2
"88","FIRST LEGO League","https://www.bricklink.com/catalogList.asp?catType=M&catString=545",1
"89","FreeStyle","https://www.bricklink.com/catalogList.asp?catType=M&catString=78",1
"90","Friends","https://www.bricklink.com/catalogList.asp?catType=M&catString=771",11
"91","Friends","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=771",11
"92","Friends","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=771",11
"93","Friends","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=771",11
"94","Friends","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=771",11
"95","Friends","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=771",11
"96","Friends","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=771",11
"97","Friends","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=771",11
"98","Friends","https://www.bricklink.com/catalogList.asp?pg=9&catType=M&catString=771",11
"99","Friends","https://www.bricklink.com/catalogList.asp?pg=10&catType=M&catString=771",11
"100","Friends","https://www.bricklink.com/catalogList.asp?pg=11&catType=M&catString=771",11
"101","Friends TV Series","https://www.bricklink.com/catalogList.asp?catType=M&catString=1154",1
"102","Fusion","https://www.bricklink.com/catalogList.asp?catType=M&catString=822",1
"103","Games","https://www.bricklink.com/catalogList.asp?catType=M&catString=1166",3
"104","Games","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1166",3
"105","Games","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=1166",3
"106","Ghostbusters","https://www.bricklink.com/catalogList.asp?catType=M&catString=870",1
"107","Harry Potter","https://www.bricklink.com/catalogList.asp?catType=M&catString=227",8
"108","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=227",8
"109","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=227",8
"110","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=227",8
"111","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=227",8
"112","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=227",8
"113","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=7&catType=M&catString=227",8
"114","Harry Potter","https://www.bricklink.com/catalogList.asp?pg=8&catType=M&catString=227",8
"115","Hero Factory","https://www.bricklink.com/catalogList.asp?catType=M&catString=749",1
"116","Hidden Side","https://www.bricklink.com/catalogList.asp?catType=M&catString=1042",2
"117","Hidden Side","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1042",2
"118","Holiday & Event","https://www.bricklink.com/catalogList.asp?catType=M&catString=390",6
"119","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=390",6
"120","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=390",6
"121","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=390",6
"122","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=390",6
"123","Holiday & Event","https://www.bricklink.com/catalogList.asp?pg=6&catType=M&catString=390",6
"124","Homemaker","https://www.bricklink.com/catalogList.asp?catType=M&catString=85",1
"125","Horizon","https://www.bricklink.com/catalogList.asp?catType=M&catString=1227",1
"126","Indiana Jones","https://www.bricklink.com/catalogList.asp?catType=M&catString=605",1
"127","Island Xtreme Stunts","https://www.bricklink.com/catalogList.asp?catType=M&catString=449",1
"128","Jurassic World","https://www.bricklink.com/catalogList.asp?catType=M&catString=850",3
"129","Jurassic World","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=850",3
"130","Jurassic World","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=850",3
"131","Legends of Chima","https://www.bricklink.com/catalogList.asp?catType=M&catString=787",4
"132","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=787",4
"133","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=787",4
"134","Legends of Chima","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=787",4
"135","LEGO Brand","https://www.bricklink.com/catalogList.asp?catType=M&catString=976",5
"136","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=976",5
"137","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=976",5
"138","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=976",5
"139","LEGO Brand","https://www.bricklink.com/catalogList.asp?pg=5&catType=M&catString=976",5
"140","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?catType=M&catString=817",3
"141","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=817",3
"142","LEGO Ideas (CUUSOO)","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=817",3
"143","Legoland","https://www.bricklink.com/catalogList.asp?catType=M&catString=277",2
"144","Legoland","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=277",2
"145","Legoland Parks","https://www.bricklink.com/catalogList.asp?catType=M&catString=572",1
"146","Master Builder Academy","https://www.bricklink.com/catalogList.asp?catType=M&catString=764",1
"147","Minecraft","https://www.bricklink.com/catalogList.asp?catType=M&catString=801",3
"148","Minecraft","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=801",3
"149","Minecraft","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=801",3
"150","Minions The Rise Of Gru","https://www.bricklink.com/catalogList.asp?catType=M&catString=1070",1
"151","Monkie Kid","https://www.bricklink.com/catalogList.asp?catType=M&catString=1100",2
"152","Monkie Kid","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=1100",2
"153","Monster Fighters","https://www.bricklink.com/catalogList.asp?catType=M&catString=781",1
"154","Nexo Knights","https://www.bricklink.com/catalogList.asp?catType=M&catString=868",4
"155","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=2&catType=M&catString=868",4
"156","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=3&catType=M&catString=868",4
"157","Nexo Knights","https://www.bricklink.com/catalogList.asp?pg=4&catType=M&catString=868",4
"158","Ninja","https://www.bricklink.com/catalogList.asp?catType=M&catString=284",1
