"","category","num_pages","num_figs","link"
"1","4 Juniors",2,55,"https://www.bricklink.com/catalogList.asp?catType=M&catString=516"
"2","Adventurers",2,55,"https://www.bricklink.com/catalogList.asp?catType=M&catString=53"
"3","Agents",1,33,"https://www.bricklink.com/catalogList.asp?catType=M&catString=609"
"4","Alpha Team",1,31,"https://www.bricklink.com/catalogList.asp?catType=M&catString=170"
"5","Aquazone",1,39,"https://www.bricklink.com/catalogList.asp?catType=M&catString=54"
"6","Atlantis",1,26,"https://www.bricklink.com/catalogList.asp?catType=M&catString=733"
"7","Avatar",1,6,"https://www.bricklink.com/catalogList.asp?catType=M&catString=574"
"8","Back to the Future",1,2,"https://www.bricklink.com/catalogList.asp?catType=M&catString=918"
"9","Basic",1,6,"https://www.bricklink.com/catalogList.asp?catType=M&catString=155"
"10","Batman I",1,28,"https://www.bricklink.com/catalogList.asp?catType=M&catString=570"
"11","Belville",5,213,"https://www.bricklink.com/catalogList.asp?catType=M&catString=48"
"12","Bionicle",1,47,"https://www.bricklink.com/catalogList.asp?catType=M&catString=273"
"13","BrickLink",1,22,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1196"
"14","Building Bigger Thinking",1,6,"https://www.bricklink.com/catalogList.asp?catType=M&catString=927"
"15","Cars",1,44,"https://www.bricklink.com/catalogList.asp?catType=M&catString=748"
"16","Castle",12,568,"https://www.bricklink.com/catalogList.asp?catType=M&catString=9"
"17","Clikits",1,3,"https://www.bricklink.com/catalogList.asp?catType=M&catString=490"
"18","Collectible Minifigures",14,696,"https://www.bricklink.com/catalogList.asp?catType=M&catString=746"
"19","DC Super Hero Girls",1,16,"https://www.bricklink.com/catalogList.asp?catType=M&catString=893"
"20","Dimensions",2,52,"https://www.bricklink.com/catalogList.asp?catType=M&catString=860"
"21","Dino",1,8,"https://www.bricklink.com/catalogList.asp?catType=M&catString=617"
"22","Dino Attack",1,10,"https://www.bricklink.com/catalogList.asp?catType=M&catString=563"
"23","Discovery",1,1,"https://www.bricklink.com/catalogList.asp?catType=M&catString=482"
"24","Disney",5,205,"https://www.bricklink.com/catalogList.asp?catType=M&catString=878"
"25","Disney's Mickey Mouse",1,4,"https://www.bricklink.com/catalogList.asp?catType=M&catString=149"
"26","Duplo",21,1008,"https://www.bricklink.com/catalogList.asp?catType=M&catString=167"
"27","Educational & Dacta",1,20,"https://www.bricklink.com/catalogList.asp?catType=M&catString=166"
"28","Elves",2,60,"https://www.bricklink.com/catalogList.asp?catType=M&catString=843"
"29","Exo-Force",1,26,"https://www.bricklink.com/catalogList.asp?catType=M&catString=568"
"30","Fabuland",2,93,"https://www.bricklink.com/catalogList.asp?catType=M&catString=153"
"31","FIRST LEGO League",1,34,"https://www.bricklink.com/catalogList.asp?catType=M&catString=545"
"32","FreeStyle",1,18,"https://www.bricklink.com/catalogList.asp?catType=M&catString=78"
"33","Friends",11,521,"https://www.bricklink.com/catalogList.asp?catType=M&catString=771"
"34","Friends TV Series",1,7,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1154"
"35","Fusion",1,1,"https://www.bricklink.com/catalogList.asp?catType=M&catString=822"
"36","Games",3,126,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1166"
"37","Ghostbusters",1,20,"https://www.bricklink.com/catalogList.asp?catType=M&catString=870"
"38","Harry Potter",8,368,"https://www.bricklink.com/catalogList.asp?catType=M&catString=227"
"39","Hero Factory",1,20,"https://www.bricklink.com/catalogList.asp?catType=M&catString=749"
"40","Hidden Side",2,75,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1042"
"41","Holiday & Event",6,279,"https://www.bricklink.com/catalogList.asp?catType=M&catString=390"
"42","Homemaker",1,3,"https://www.bricklink.com/catalogList.asp?catType=M&catString=85"
