image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link,release_year,region
NA,adv001,Achu,South American,1492383,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?S=5986-1#T=S&O={%22iconly%22:0},1999,South American
NA,adv008,Gabarros,South American,1492383,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv008#T=S&O={%22iconly%22:0},1999,South American
NA,hol139,"Daughter, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol139#T=S&O={%22iconly%22:0},2019,East Asian
NA,hol142,"Father, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol142#T=S&O={%22iconly%22:0},2019,East Asian
NA,hol140,"Grandfather, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol140#T=S&O={%22iconly%22:0},2019,East Asian
NA,hol141,"Grandmother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol141#T=S&O={%22iconly%22:0},2019,East Asian
NA,hol138,"Mother, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol138#T=S&O={%22iconly%22:0},2019,East Asian
NA,hol143,"Son, Chinese New Year's Eve Dinner",Chinese,80101-1,Chinese New Year's Eve Dinner,Holiday & Event: Chinese New Year,male,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol143#T=S&O={%22iconly%22:0},2019,East Asian
NA,adv023,Señor Palomar (Senor Palomar),South American,1492383,Amazon Ancient Ruins,Adventurers: Jungle,male,1999,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv023#T=S&O={%22iconly%22:0},1999,South American
NA,adv027,Babloo,South Asian,2013949,Elephant Caravan,Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv027#T=S&O={%22iconly%22:0},2003,South Asian
NA,adv046,Dragon Fortress Guard - Conical Helmet,Chinese,"7419-1, 7416-1","Dragon Fortress, Emperor's Ship",Adventurers: Orient Expedition,male,2003,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=adv046#T=S&O={%22iconly%22:0},2003,East Asian
NA,hol189,"Child Girl, Black Hair, Red Scarf, Dark Pink Puffy Jacket, White Shirt, Medium Blue Short Legs",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol189#T=S&O={%22iconly%22:0},2020,East Asian
NA,hol183,"Food Vendor, Red Cap and Apron, Bright Light Orange Chinese Logogram '烧烤' (Barbecue)",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol183#T=S&O={%22iconly%22:0},2020,East Asian
NA,hol187,"Man, Dark Red Jacket with Bright Light Blue Shirt, Dark Tan Legs, Red Scarf, Black Smooth Hair, Glasses",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol187#T=S&O={%22iconly%22:0},2020,East Asian
NA,hol192,"Porcelain Vendor, Female, Light Bluish Gray Hair, Glasses, Sand Blue Tunic, Medium Nougat Sash, Tan Legs",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,female,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol192#T=S&O={%22iconly%22:0},2020,East Asian
NA,hol195,"Shadow Puppeteer, Light Bluish Gray Hair, Glasses, Blue Changshan with Yellow Hem and Sash, Silver Circles Pattern",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol195#T=S&O={%22iconly%22:0},2020,East Asian
NA,hol186,"Toy Vendor, Black Hair, Red Changshan with Bright Light Orange Wide Hem, Gold Circles Pattern",Chinese,80105-1,Chinese New Year Temple Fair,Holiday & Event: Chinese New Year,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=hol186#T=S&O={%22iconly%22:0},2020,East Asian
