,Item #,Description,Expression 1,Expression 2,Color,,,Child,Youth/Young Adult,Older Adult
,3626bpb0063,"Minifigure, Head Female with Green Lips and Red Eyebrows Pattern (Poison Ivy) ",Smirk,,Light Nougat,,,,1,
,3626bpb0069,"Minifigure, Head Female Blue Green Eyes, Brown Hair Lines on Sides Pattern (Katara) ",Neutral,,Light Nougat,,,1,1,
,3626bpb0076,"Minifigure, Head Female with Peach Lips, Blue Eyes, Tan Bangs Pattern (SW Juno) ",Neutral,,Light Nougat,,,1,1,
,3626bpb0205,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils and Short Eyelashes, Wide Smile with Red Lips Pattern ",Smile,,Light Nougat,,,1,1,
,3626bpb0210,"Minifigure, Head Dual Sided Female with Awake / Asleep Pattern (HP Hermione) ",Smirk,Sleepy,Light Nougat,,,1,1,
,3626bpb0211,"Minifigure, Head Female Glasses, White Pupils, Red Lips and Dimples Pattern (HP Professor Trelawney) ",Neutral,,Light Nougat,,,,,1
,3626bpb0242,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Smile with Pink Lips Pattern ",Smile,,Light Nougat,,,1,1,
,3626bpb0257,"Minifigure, Head Dual Sided Female Red Lips with Smirk and Silver Glasses / Arched Eyebrows Pattern ",Neutral,Smirk,Light Nougat,,,,1,
,3626bpb0286,"Minifigure, Head Female with Peach Lips, Stern Eyebrows, White Pupils Pattern (Irina) ",Neutral,,Light Nougat,,,,1,
,3626bpb0290,"Minifigure, Head Female Reddish Brown Eyebrows, Red Lips Pattern (Trixie) ",Neutral,,Light Nougat,,,,1,
,3626bpb0291,"Minifigure, Head Female Brown Hair and Eyebrows, Red Lips Frown Pattern ",Sad,,Light Nougat,,,,1,
,3626bpb0416,"Minifigure, Head Dual Sided Female Eyelashes, Eye Shadow, Dark Red Lips, Smile / Frown Pattern (Tamina, Leia) ",Smile,Frown,Light Nougat,,,,1,
,3626bpb0476,"Minifigure, Head Dual Sided Female with Freckles and Eyelashes, Smile / Frown Pattern (HP Ginny Weasley) ",Smile,Neutral,Light Nougat,,,1,1,
,3626bpb0477,"Minifigure, Head Female with Peach Lips, Crow's Feet and Mouth Lines Pattern (HP Mrs. Weasley) ",Smile,,Light Nougat,,,,,1
,3626bpb0482,"Minifigure, Head Dual Sided Female Smile / Annoyed Pattern ",Smile,Annoyed,Light Nougat,,,,1,
,3626bpb0489,"Minifigure, Head Dual Sided Female, Red Lips, Goggles / no Goggles Pattern (HP Madame Hooch) ",Smirk,Smile,Light Nougat,,,,,1
,3626bpb0494,"Minifigure, Head Dual Sided Female, Dark Pink Lips, Spectrespecs / No Spectrespecs Pattern (HP Luna) ",Smile,Neutral,Light Nougat,,,,1,
,3626bpb0556,"Minifigure, Head Dual Sided Female PotC Elizabeth Light Brown Eyebrows and Dimple, Smile / Scared Pattern ",Smile,Scared,Light Nougat,,,,1,
,3626bpb0564,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows and Eye Shadow, Medium Nougat Lips, Neutral / Conniving Pattern ",Neutral,Smirk,Light Nougat,,,1,1,
,3626bpb0569,"Minifigure, Head Dual Sided Female Mermaid with Dark Brown Sad Eyebrows and Tear / Scales and Gills Pattern ",Sad,Neutral,Light Nougat,,,,1,
,3626bpb0570,"Minifigure, Head Dual Sided Female Mermaid with Dark Brown Eyebrows and Dimple / Bared Teeth and Gills Pattern ",Smile,Angry,Light Nougat,,,,1,
,3626bpb0590,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa) ",Sad,Angry,Light Nougat,,,,,1
,3626bpb0600,"Minifigure, Head Female Dark Bluish Gray Eyebrows, Peach Lips Pattern (HP Professor Sprout) ",Smile,,Light Nougat,,,,,1
,3626bpb0635,"Minifigure, Head Dual Sided Female Eyelashes and Red Lips, Smile / Angry Pattern ",Smile,Angry,Light Nougat,,,,1,
,3626bpb0645,"Minifigure, Head Dual Sided Female Purple Lips with Smirk and Glasses / Arched Eyebrows and Eyelashes Pattern ",Smirk,Smile,Light Nougat,,,,1,
,3626bpb0672,"Minifigure, Head Female SW Barriss Offee, Purple Lips, Dark Tan Tattoo Pattern ",Neutral,,Light Nougat,,,,1,
,3626cpb0205,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils and Short Eyelashes, Wide Smile with Red Lips Pattern ",Smile,,Light Nougat,,,1,1,
,3626cpb0242,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Smile with Pink Lips Pattern ",Smile,,Light Nougat,,,1,1,
,3626cpb0416,"Minifigure, Head Dual Sided Female Eyelashes, Eye Shadow, Dark Red Lips, Smile / Frown Pattern (Tamina, Leia) ",Smile,Frown,Light Nougat,,,,1,
,3626cpb0482,"Minifigure, Head Dual Sided Female Smile / Annoyed Pattern ",Smile,Annoyed,Light Nougat,,,,1,
,3626cpb0489,"Minifigure, Head Dual Sided Female, Red Lips, Goggles / no Goggles Pattern (HP Madame Hooch) ",Smirk,Smile,Light Nougat,,,,,1
,3626cpb0556,"Minifigure, Head Dual Sided Female PotC Elizabeth Light Brown Eyebrows and Dimple, Smile / Scared Pattern ",Smile,Scared,Light Nougat,,,,1,
,3626cpb0564,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows and Eye Shadow, Medium Nougat Lips, Neutral / Conniving Pattern ",Neutral,Smirk,Light Nougat,,,1,1,
,3626cpb0569,"Minifigure, Head Dual Sided Female Mermaid with Dark Brown Sad Eyebrows and Tear / Scales and Gills Pattern ",Sad,Neutral,Light Nougat,,,,1,
,3626cpb0590,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa) ",Sad,Angry,Light Nougat,,,,,1
,3626cpb0600,"Minifigure, Head Female Dark Bluish Gray Eyebrows, Peach Lips Pattern (HP Professor Sprout) ",Smile,,Light Nougat,,,,,1
,3626cpb0635,"Minifigure, Head Dual Sided Female Eyelashes and Red Lips, Smile / Angry Pattern ",Smile,Angry,Light Nougat,,,,1,
,3626cpb0645,"Minifigure, Head Dual Sided Female Purple Lips with Smirk and Glasses / Arched Eyebrows and Eyelashes Pattern ",Smirk,Smile,Light Nougat,,,,1,
,3626cpb0672,"Minifigure, Head Female SW Barriss Offee, Purple Lips, Dark Tan Tattoo Pattern ",Neutral,,Light Nougat,,,,1,
