Image,Item No.,Description,Expression 1,Expression 2,Color,,,Young Child,Youth/Younger Adult,Older Adult,,,,,,,,,,,
,3626bpb0144,"Minifigure, Head NBA Allan Houston Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0154,"Minifigure, Head NBA Antoine Walker Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0139,"Minifigure, Head NBA Gary Payton Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0151,"Minifigure, Head NBA Jalen Rose Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0147,"Minifigure, Head NBA Jerry Stackhouse Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0142,"Minifigure, Head NBA Karl Malone Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0131,"Minifigure, Head NBA Kobe Bryant Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0146,"Minifigure, Head NBA Paul Pierce Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0135,"Minifigure, Head NBA Ray Allen Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0152,"Minifigure, Head NBA Shaquille O'Neal Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0141,"Minifigure, Head NBA Steve Francis Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
,3626bpb0153,"Minifigure, Head NBA Tony Parker Pattern",Happy,,Reddish Brown,NBA,,,1,,"Actually just ""brown"" but for ease of charting, combined with Reddish Brown",,,,,,,,,,
