image,item_number,color_code,description,color,gender,age,emotion
,3626bpb0144,8,"Minifigure, Head NBA Allan Houston Pattern",Reddish Brown,male,young adult,happy
,3626bpb0154,8,"Minifigure, Head NBA Antoine Walker Pattern",Reddish Brown,male,young adult,happy
,3626bpb0139,8,"Minifigure, Head NBA Gary Payton Pattern",Reddish Brown,male,young adult,happy
,3626bpb0151,8,"Minifigure, Head NBA Jalen Rose Pattern",Reddish Brown,male,young adult,happy
,3626bpb0147,8,"Minifigure, Head NBA Jerry Stackhouse Pattern",Reddish Brown,male,young adult,happy
,3626bpb0142,8,"Minifigure, Head NBA Karl Malone Pattern",Reddish Brown,male,young adult,happy
,3626bpb0131,8,"Minifigure, Head NBA Kobe Bryant Pattern",Reddish Brown,male,young adult,happy
,3626bpb0146,8,"Minifigure, Head NBA Paul Pierce Pattern",Reddish Brown,male,young adult,happy
,3626bpb0135,8,"Minifigure, Head NBA Ray Allen Pattern",Reddish Brown,male,young adult,happy
,3626bpb0152,8,"Minifigure, Head NBA Shaquille O'Neal Pattern",Reddish Brown,male,young adult,happy
,3626bpb0141,8,"Minifigure, Head NBA Steve Francis Pattern",Reddish Brown,male,young adult,happy
,3626bpb0153,8,"Minifigure, Head NBA Tony Parker Pattern",Reddish Brown,male,young adult,happy
,3626bpb0137,8,"Minifigure, Head NBA Vince Carter Pattern",Reddish Brown,male,young adult,happy
,3626bpb0140,8,"Minifigure, Head NBA Allen Iverson Pattern",Reddish Brown,male,young adult,neutral
,3626bpb0143,8,"Minifigure, Head NBA Chris Webber Pattern",Reddish Brown,male,young adult,neutral
,3626bpb0149,8,"Minifigure, Head NBA Kevin Garnett Pattern",Reddish Brown,male,young adult,neutral
,3626bpb0134,8,"Minifigure, Head NBA Tim Duncan Pattern",Reddish Brown,male,young adult,smile
,3626bpb0145,8,"Minifigure, Head NBA Tracy McGrady Pattern",Reddish Brown,male,young adult,smile
,3626bpb0287,68,"Minifigure, Head Black Eyebrows, Forehead Tattoo, White Pupils, Red Pattern on Reverse",Reddish Brown,neutral,young adult,annoyed
,3626bpb1008,90,"Minifigure, Head Dual Sided Brown Eyebrows, Scared Pattern / Snow Goggles and Tan Bandana Pattern (SW Han Solo)",Light Nougat,male,young adult,angry
,3626bpb1008,90,"Minifigure, Head Dual Sided Brown Eyebrows, Scared Pattern / Snow Goggles and Tan Bandana Pattern (SW Han Solo)",Light Nougat,male,young adult,angry
,3626cpb1737,90,"Minifigure, Head Male Black Eyebrows, White Pupils, Chin Dimple, Open Mouth Scowl Pattern",Light Nougat,male,young adult,angry
,3626cpb1559,90,"Minifigure, Head Dark Orange Raised Eyebrows, Open Mouth Smile with Teeth and Tongue Pattern (Peter Pan)",Light Nougat,male,young adult,happy
,3626cpb1614,90,"Minifigure, Head Dual Sided Orange Visor, Angry / Brown Eyebrows, Frown Pattern (SW Rebel A-wing Pilot)",Light Nougat,male,young adult,angry
,3626cpb1614,90,"Minifigure, Head Dual Sided Orange Visor, Angry / Brown Eyebrows, Frown Pattern (SW Rebel A-wing Pilot)",Light Nougat,male,young adult,frown
,3626cpb1095,90,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,male,young adult,angry
,3626cpb1095,90,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,male,young adult,scared
,3626cpb2237,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Dimple, Neutral / Concerned Pattern (SW Cloud Car Pilot)",Light Nougat,neutral,young adult,angry
,3626cpb2237,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Dimple, Neutral / Concerned Pattern (SW Cloud Car Pilot)",Light Nougat,neutral,young adult,scared
,3626cpb0962,90,"Minifigure, Head Male Black Eye Mask with Dirt Stains, Clenched Teeth Pattern (The Lone Ranger)",Light Nougat,male,young adult,angry
,3626bpb0704,90,"Minifigure, Head Male Black Eyebrows, Cheek Lines, White Pupils and Frown Pattern",Light Nougat,male,young adult,angry
,3626cpb0704,90,"Minifigure, Head Male Black Eyebrows, Cheek Lines, White Pupils and Frown Pattern",Light Nougat,male,young adult,angry
,3626cpb1542,90,"Minifigure, Head Medium Blue Eye Mask with White Eye Holes and Clenched Teeth Pattern (Captain Cold)",Light Nougat,male,young adult,angry
,3626cpb0932,90,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Brown Goatee, Cheek Lines, Angry / Bared Teeth with Red Eyes Pattern",Light Nougat,male,young adult,angry
,3626cpb0932,90,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Brown Goatee, Cheek Lines, Angry / Bared Teeth with Red Eyes Pattern",Light Nougat,male,young adult,angry
,3626cpb1573,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Wrinkles, Stern / Raised Right Eyebrow Pattern (Grand Moff Tarkin)",Light Nougat,male,older adult,angry
,3626cpb1573,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Wrinkles, Stern / Raised Right Eyebrow Pattern (Grand Moff Tarkin)",Light Nougat,male,older adult,angry
,3626cpb2052,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Tan Soul Patch, Black Eye and Missing Tooth / Blue Captain America Mask Pattern",Light Nougat,male,young adult,angry
,3626cpb2052,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Tan Soul Patch, Black Eye and Missing Tooth / Blue Captain America Mask Pattern",Light Nougat,male,young adult,angry
,3626cpb2261,90,"Minifigure, Head Dual Sided Black Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth / Closed Mouth Angry Pattern (Severus Snape Boggart)",Light Nougat,male,older adult,angry
,3626cpb2261,90,"Minifigure, Head Dual Sided Black Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth / Closed Mouth Angry Pattern (Severus Snape Boggart)",Light Nougat,male,older adult,angry
,3626cpb2728,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache, White Beard, Neutral / Scared Pattern",Light Nougat,male,young adult,angry
,3626cpb2728,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache, White Beard, Neutral / Scared Pattern",Light Nougat,male,young adult,angry
,3626cpb1471,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Black Bandana / Black Eye Mask with Eye Holes Pattern (Winter Soldier)",Light Nougat,male,young adult,angry
,3626cpb1471,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Black Bandana / Black Eye Mask with Eye Holes Pattern (Winter Soldier)",Light Nougat,male,young adult,angry
,3626cpb0815,90,"Minifigure, Head Dual Sided LotR Bushy Black Eyebrows, Dark Orange Scars, Stern / Open Mouth with Teeth Pattern",Light Nougat,male,older adult,angry
,3626cpb0815,90,"Minifigure, Head Dual Sided LotR Bushy Black Eyebrows, Dark Orange Scars, Stern / Open Mouth with Teeth Pattern",Light Nougat,male,older adult,evil
,3626cpb0904,90,"Minifigure, Head Dual Sided Sunken Eyes, Black Eyebrows, Wrinkles, Frown / Angry Pattern",Light Nougat,male,older adult,angry
,3626cpb0904,90,"Minifigure, Head Dual Sided Sunken Eyes, Black Eyebrows, Wrinkles, Frown / Angry Pattern",Light Nougat,male,older adult,evil
,3626cpb0734,90,"Minifigure, Head Dual Sided LotR Boromir Goatee Stern / Grimacing Pattern",Light Nougat,male,young adult,angry
,3626cpb0734,90,"Minifigure, Head Dual Sided LotR Boromir Goatee Stern / Grimacing Pattern",Light Nougat,male,young adult,frown
,3626cpb1155,90,"Minifigure, Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Bared Teeth / Open Mouth Smile Pattern (Doc Ock)",Light Nougat,male,young adult,angry
,3626cpb1155,90,"Minifigure, Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Bared Teeth / Open Mouth Smile Pattern (Doc Ock)",Light Nougat,male,young adult,happy
,3626bpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,young adult,angry
,3626bpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,young adult,angry
,3626cpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb0702,90,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,male,young adult,angry
,3626cpb0702,90,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Determined / Scared Pattern (Robin)",Light Nougat,male,young adult,scared
,3626cpb0952,90,"Minifigure, Head Dual Sided LotR Beard, Tattoo and Eyebrow Ring Angry / Surprised Pattern",Light Nougat,male,young adult,angry
,3626cpb0952,90,"Minifigure, Head Dual Sided LotR Beard, Tattoo and Eyebrow Ring Angry / Surprised Pattern",Light Nougat,male,young adult,scared
,3626bpb0566,90,"Minifigure, Head Dual Sided PotC Gibbs Gray Beard and Eyebrows, Crow's Feet, Angry / Scared Pattern",Light Nougat,male,older adult,angry
,3626bpb0566,90,"Minifigure, Head Dual Sided PotC Gibbs Gray Beard and Eyebrows, Crow's Feet, Angry / Scared Pattern",Light Nougat,male,older adult,scared
,3626bpb0372,90,"Minifigure, Head Dual Sided Power Miner Beard Stubble, Gray Smudge, Orange Scars, Determined / Alarmed Pattern",Light Nougat,male,young adult,angry
,3626bpb0372,90,"Minifigure, Head Dual Sided Power Miner Beard Stubble, Gray Smudge, Orange Scars, Determined / Alarmed Pattern",Light Nougat,male,young adult,scared
,3626cpb2520,90,"Minifigure, Head Dual Sided Dark Tan Visor, Stern Black Eyebrows, Chin Strap / Open Mouth Happy Pattern (SW T-16 Skyhopper Pilot)",Light Nougat,neutral,young adult,angry
,3626cpb2520,90,"Minifigure, Head Dual Sided Dark Tan Visor, Stern Black Eyebrows, Chin Strap / Open Mouth Happy Pattern (SW T-16 Skyhopper Pilot)",Light Nougat,neutral,young adult,smirk
,3626cpb0785,90,"Minifigure, Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)",Light Nougat,male,young adult,angry
