image,item_number,color_code,description,color,emotion,link,release_year
NA,3626bpb0477,90,"Minifigure, Head Female with Peach Lips, Crow's Feet and Mouth Lines Pattern (HP Mrs. Weasley)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0477,2010
NA,3626bpb0590,90,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0590,2011
NA,3626bpb0590,90,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0590,2011
NA,3626cpb0590,90,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0590,2011
NA,3626cpb0590,90,"Minifigure, Head Dual Sided Female, Dark Brown Eyebrows, Crow's Feet, Smile / Angry Pattern (HP Narcissa)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0590,2011
NA,3626cpb1489,90,"Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Nougat Lips, Laugh Lines, Smirk / Eyebrow Raised Pattern (Princess Leia)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1489,2016
NA,3626cpb1489,90,"Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Nougat Lips, Laugh Lines, Smirk / Eyebrow Raised Pattern (Princess Leia)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1489,2016
NA,3626cpb2227,90,"Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Medium Nougat Lips, Age Lines, Grin / Smile with Raised Eyebrow Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2227,2018
NA,3626cpb2227,90,"Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Medium Nougat Lips, Age Lines, Grin / Smile with Raised Eyebrow Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2227,2018
NA,3626cpb2260,90,"Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Eyes with Pupils, Wrinkles, Pink Lips, Smile / Frown Pattern (Dolores Umbridge)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2260,2018
NA,3626cpb2260,90,"Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Eyes with Pupils, Wrinkles, Pink Lips, Smile / Frown Pattern (Dolores Umbridge)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2260,2018
NA,3626cpb2478,90,"Minifigure, Head Female Dark Bluish Gray Eyebrows, Peach Lips, Dark Orange Age Lines, Smile Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2478,2019
NA,3626cpb2657,90,"Minifigure, Head Dual Sided Female, Reddish Brown Eyebrows, Dark Orange Age Lines, Red Lips, Raised Right Eyebrow / Surprised Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2657,2020
NA,3626cpb2657,90,"Minifigure, Head Dual Sided Female, Reddish Brown Eyebrows, Dark Orange Age Lines, Red Lips, Raised Right Eyebrow / Surprised Pattern",Light Nougat,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2657,2020
NA,3626cpb2788,90,"Minifigure, Head Female Reddish Brown Thick Eyebrows, Medium Nougat Wrinkles, Peach Lips, Neutral Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2788,2021
NA,3626bpb0366,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0366,2009
NA,3626bpb0366,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed Pattern",Yellow,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0366,2009
NA,3626cpb0366,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0366,2012
NA,3626cpb0366,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed Pattern",Yellow,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0366,2012
NA,3626cpb0998,3,"Minifigure, Head Female Glasses Dark Pink, Gray Eyebrows, Crow's Feet Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0998,2013
NA,3626cpb1059,3,"Minifigure, Head Female Glasses Dark Red, Gray Eyebrows, Crow's Feet, Side Open Mouth Pattern",Yellow,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1059,2014
NA,3626cpb1350,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed with Short Frown Lines Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1350,2015
NA,3626cpb1350,3,"Minifigure, Head Dual Sided Female Red Lips, Crow's Feet and Beauty Mark, Smile / Annoyed with Short Frown Lines Pattern",Yellow,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1350,2015
NA,3626cpb1398,3,"Minifigure, Head Dual Sided Female Dark Tan Glasses, Laugh Lines, Dark Orange Lips, Neutral / Raised Eyebrows Amused Pattern",Yellow,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1398,2015
NA,3626cpb1398,3,"Minifigure, Head Dual Sided Female Dark Tan Glasses, Laugh Lines, Dark Orange Lips, Neutral / Raised Eyebrows Amused Pattern",Yellow,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1398,2015
NA,3626cpb1568,3,"Minifigure, Head Female Glasses Dark Tan, Gray Eyebrows, Crow's Feet, Peach Lips Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1568,2016
NA,3626cpb2150,3,"Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Medium Nougat Crow's Feet, Peach Lips, Smile / Dark Turquoise Sunglasses Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2150,2018
NA,3626cpb2150,3,"Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Medium Nougat Crow's Feet, Peach Lips, Smile / Dark Turquoise Sunglasses Pattern",Yellow,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2150,2018
NA,3626cpb3017,28,"Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Dark Orange Age Lines and Lips, Grin / Scowl Pattern - Hollow Stud",Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3017,2022
NA,3626cpb3017,28,"Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Dark Orange Age Lines and Lips, Grin / Scowl Pattern - Hollow Stud",Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3017,2022
NA,3626cpb2964,3,"Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Medium Nougat Lips and Age Lines, Grin / Open Smile Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2964,2022
NA,3626cpb2964,3,"Minifigure, Head Dual Sided Female Dark Bluish Gray Eyebrows, Medium Nougat Lips and Age Lines, Grin / Open Smile Pattern - Hollow Stud",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2964,2022
NA,3626cpb3009,90,"Minifigure, Head Dual Sided Female, Dark Bluish Gray Eyebrows, Peach Lips and Wrinkles, Smile / Concerned Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3009,2022
NA,3626cpb3009,90,"Minifigure, Head Dual Sided Female, Dark Bluish Gray Eyebrows, Peach Lips and Wrinkles, Smile / Concerned Pattern - Hollow Stud",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3009,2022
NA,3626cpb2920,90,"Minifigure, Head Dual Sided Female, Black Eyebrows, Red Lips, Medium Nougat Cheek Lines, Nougat Scar, Smile / Lopsided Grin Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2920,2021
NA,3626cpb2920,90,"Minifigure, Head Dual Sided Female, Black Eyebrows, Red Lips, Medium Nougat Cheek Lines, Nougat Scar, Smile / Lopsided Grin Pattern - Hollow Stud",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2920,2021
NA,3626cpb2874,90,"Minifigure, Head Dual Sided Female, Light Bluish Gray Eyebrows, Cheek Lines, Pink Lips, Neutral / Smile and Yellow Glasses Pattern - Hollow Stud",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2874,2021
