image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb1720,90,"Minifigure, Head White Face Paint, Black Lines Through Eyebrows and Eyes, Bright Pink Hearts on Cheeks Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1720,2017
NA,3626bpb0284,90,"Minifigure, Head Dual Sided Blue Eyes with Brown Eyebrows, Scared / Smile Pattern (Marion Ravenwood)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0284,2008
NA,3626bpb0284,90,"Minifigure, Head Dual Sided Blue Eyes with Brown Eyebrows, Scared / Smile Pattern (Marion Ravenwood)",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0284,2008
NA,3626bpb0063,90,"Minifigure, Head Female with Green Lips and Red Eyebrows Pattern (Poison Ivy)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0063,2006
NA,3626bpb0069,90,"Minifigure, Head Female Blue Green Eyes, Brown Hair Lines on Sides Pattern (Katara)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0069,2006
NA,3626bpb0076,90,"Minifigure, Head Female with Peach Lips, Blue Eyes, Tan Bangs Pattern (SW Juno)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0076,2008
NA,3626bpb0205,90,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils and Short Eyelashes, Wide Smile with Red Lips Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0205,2004
NA,3626bpb0210,90,"Minifigure, Head Dual Sided Female with Awake / Asleep Pattern (HP Hermione)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0210,2005
NA,3626bpb0210,90,"Minifigure, Head Dual Sided Female with Awake / Asleep Pattern (HP Hermione)",Light Nougat,sleepy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0210,2005
NA,3626bpb0211,90,"Minifigure, Head Female Glasses, White Pupils, Red Lips and Dimples Pattern (HP Professor Trelawney)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0211,2004
NA,3626bpb0242,90,"Minifigure, Head Female with Brown Thin Eyebrows, White Pupils, Short Eyelashes, Wide Smile with Pink Lips Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0242,2004
NA,3626bpb0257,90,"Minifigure, Head Dual Sided Female Red Lips with Smirk and Silver Glasses / Arched Eyebrows Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0257,2006
NA,3626bpb0257,90,"Minifigure, Head Dual Sided Female Red Lips with Smirk and Silver Glasses / Arched Eyebrows Pattern",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0257,2006
NA,3626bpb0286,90,"Minifigure, Head Female with Peach Lips, Stern Eyebrows, White Pupils Pattern (Irina)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0286,2008
