image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb1198,90,"Minifigure, Head Dual Sided Child LotR Bain, Brown Eyebrows, Slight Smile and Freckles / Angry with Mud Splotches Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1198,2014
NA,3626cpb1198,90,"Minifigure, Head Dual Sided Child LotR Bain, Brown Eyebrows, Slight Smile and Freckles / Angry with Mud Splotches Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1198,2014
NA,3626cpb1366,90,"Minifigure, Head Dual Sided Child Freckles, Concerned / Crooked Smile Pattern (SW Anakin)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1366,2015
NA,3626cpb1366,90,"Minifigure, Head Dual Sided Child Freckles, Concerned / Crooked Smile Pattern (SW Anakin)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1366,2015
NA,3626cpb1340,90,"Minifigure, Head Dual Sided Child LotR Brown Eyebrows and Freckles, Slight Smile / Frown (Bain) Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1340,2015
NA,3626cpb1340,90,"Minifigure, Head Dual Sided Child LotR Brown Eyebrows and Freckles, Slight Smile / Frown (Bain) Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1340,2015
NA,3626cpb2117,90,"Minifigure, Head Dual Sided Child Black Mask, Closed Smile / Happy Pattern (Dash Parr)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2117,2018
NA,3626cpb2117,90,"Minifigure, Head Dual Sided Child Black Mask, Closed Smile / Happy Pattern (Dash Parr)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2117,2018
NA,3626cpb3034,90,"Minifigure, Head Dual Sided Child Male, Black Eyebrows, Dark Tan Mud Drops, Scared / Terrified Pattern - Hollow Stud",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3034,2022
NA,3626cpb3034,90,"Minifigure, Head Dual Sided Child Male, Black Eyebrows, Dark Tan Mud Drops, Scared / Terrified Pattern - Hollow Stud",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3034,2022
