image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb1573,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Wrinkles, Stern / Raised Right Eyebrow Pattern (Grand Moff Tarkin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1573,2016
NA,3626cpb1573,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Wrinkles, Stern / Raised Right Eyebrow Pattern (Grand Moff Tarkin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1573,2016
NA,3626cpb2261,90,"Minifigure, Head Dual Sided Black Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth / Closed Mouth Angry Pattern (Severus Snape Boggart)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2261,2018
NA,3626cpb2261,90,"Minifigure, Head Dual Sided Black Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth / Closed Mouth Angry Pattern (Severus Snape Boggart)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2261,2018
NA,3626cpb0815,90,"Minifigure, Head Dual Sided LotR Bushy Black Eyebrows, Dark Orange Scars, Stern / Open Mouth with Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0815,2012
NA,3626cpb0815,90,"Minifigure, Head Dual Sided LotR Bushy Black Eyebrows, Dark Orange Scars, Stern / Open Mouth with Teeth Pattern",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0815,2012
NA,3626cpb0904,90,"Minifigure, Head Dual Sided Sunken Eyes, Black Eyebrows, Wrinkles, Frown / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0904,2013
NA,3626cpb0904,90,"Minifigure, Head Dual Sided Sunken Eyes, Black Eyebrows, Wrinkles, Frown / Angry Pattern",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0904,2013
NA,3626bpb0566,90,"Minifigure, Head Dual Sided PotC Gibbs Gray Beard and Eyebrows, Crow's Feet, Angry / Scared Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0566,2011
NA,3626bpb0566,90,"Minifigure, Head Dual Sided PotC Gibbs Gray Beard and Eyebrows, Crow's Feet, Angry / Scared Pattern",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0566,2011
NA,3626cpb0959,90,"Minifigure, Head Beard Full Brown with Graying Temples and Wrinkles Pattern (Latham Cole)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0959,2013
NA,3626cpb1322,90,"Minifigure, Head Glasses with Monocle, Raised Right Eyebrow, Wrinkles, Clenched Teeth Pattern (Baron Von Strucker)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1322,2015
NA,3626cpb2497,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Chin Dimple, Happy / Angry Pattern (SW General Pryde)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2497,2019
NA,3626cpb2497,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Chin Dimple, Happy / Angry Pattern (SW General Pryde)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2497,2019
NA,3626cpb0876,90,"Minifigure, Head Dual Sided Black Glasses, Brown Moustache, Wrinkles, Mouth Closed / Clenched Teeth Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0876,2013
NA,3626cpb0876,90,"Minifigure, Head Dual Sided Black Glasses, Brown Moustache, Wrinkles, Mouth Closed / Clenched Teeth Pattern",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0876,2013
NA,3626cpb0867,90,"Minifigure, Head LotR Bushy Brown Eyebrows and Wrinkles with Dark Blue Tattoo on Reverse Pattern (Dwalin)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0867,2012
NA,3626cpb1136,90,"Minifigure, Head Male Dark Tan Eyebrows, Wrinkles and Headset Pattern (SW General Veers)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1136,2014
NA,3626cpb0808,90,"Minifigure, Head Dual Sided Wrinkles, Sunken Yellow Eyes / Black Eyes with White Pupils Pattern (SW Palpatine)",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0808,2012
NA,3626cpb0808,90,"Minifigure, Head Dual Sided Wrinkles, Sunken Yellow Eyes / Black Eyes with White Pupils Pattern (SW Palpatine)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0808,2012
NA,3626cpb1076,90,"Minifigure, Head Dual Sided Wrinkles, Dark Tan Eyebrows, Bared Teeth Evil Happy / Stern Pattern (SW Palpatine)",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1076,2014
NA,3626cpb1076,90,"Minifigure, Head Dual Sided Wrinkles, Dark Tan Eyebrows, Bared Teeth Evil Happy / Stern Pattern (SW Palpatine)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1076,2014
NA,3626cpb0778,90,"Minifigure, Head Male Scar over Left Eye, Wrinkles Pattern (SW Even Piell)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0778,2012
NA,3626cpb1021,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Calm / Shouting Pattern (Thranduil)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1021,2013
NA,3626cpb1021,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Calm / Shouting Pattern (Thranduil)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1021,2013
NA,3626cpb0819,90,"Minifigure, Head Dual Sided LotR Bushy Brown Eyebrows, Wrinkles, Scowling / Battle Rage Pattern (Gloin)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0819,2012
NA,3626cpb0819,90,"Minifigure, Head Dual Sided LotR Bushy Brown Eyebrows, Wrinkles, Scowling / Battle Rage Pattern (Gloin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0819,2012
NA,3626cpb0820,90,"Minifigure, Head Dual Sided LotR Bushy Gray Eyebrows, Wrinkles, Calm / Battle Rage Pattern (Oin)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0820,2012
NA,3626cpb0820,90,"Minifigure, Head Dual Sided LotR Bushy Gray Eyebrows, Wrinkles, Calm / Battle Rage Pattern (Oin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0820,2012
NA,3626cpb0814,90,"Minifigure, Head Dual Sided LotR Dark Bluish Gray Eyebrows, Black Beard, Wrinkles, Stern / Open Mouth with Teeth Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0814,2012
NA,3626cpb0814,90,"Minifigure, Head Dual Sided LotR Dark Bluish Gray Eyebrows, Black Beard, Wrinkles, Stern / Open Mouth with Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0814,2012
NA,3626bpb0725,90,"Minifigure, Head Dual Sided LotR Eomer Beard and Crow's Feet Frowning / Shouting Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0725,2012
NA,3626bpb0725,90,"Minifigure, Head Dual Sided LotR Eomer Beard and Crow's Feet Frowning / Shouting Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0725,2012
NA,3626cpb0725,90,"Minifigure, Head Dual Sided LotR Eomer Beard and Crow's Feet Frowning / Shouting Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0725,2012
NA,3626cpb0725,90,"Minifigure, Head Dual Sided LotR Eomer Beard and Crow's Feet Frowning / Shouting Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0725,2012
NA,3626cpb1688,90,"Minifigure, Head Dual Sided White and Gray Eyebrows, Moustache Fu Manchu, Wrinkles / Lime Eyes, Black Eyebrows, Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1688,2016
NA,3626cpb1688,90,"Minifigure, Head Dual Sided White and Gray Eyebrows, Moustache Fu Manchu, Wrinkles / Lime Eyes, Black Eyebrows, Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1688,2016
NA,3626cpb1444,90,"Minifigure, Head Dark Gray Bushy Eyebrows, White Pupils and Wrinkles Pattern (The Doctor)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1444,2015
NA,3626cpb1514,90,"Minifigure, Head Dark Gray Eyebrows Bushy, Sunken Eyes, Cheek Lines, Chin Dimple and Forehead Wrinkles Pattern (SW First Order General)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1514,2016
NA,3626cpb1344,90,"Minifigure, Head Male, Stern Gray Eyebrows, White Moustache and Wrinkles Pattern (SW Admiral Yularen)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1344,2015
NA,3626cpb2127,90,"Minifigure, Head White Gray Eyebrows, Gray and White Beard and Wrinkles Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2127,2018
NA,3626cpb2659,90,"Minifigure, Head Dual Sided Light Bluish Gray Eyebrows and Moustache, Dark Orange Age Lines, Neutral / Happy Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2659,2020
NA,3626cpb2659,90,"Minifigure, Head Dual Sided Light Bluish Gray Eyebrows and Moustache, Dark Orange Age Lines, Neutral / Happy Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2659,2020
NA,3626cpb2259,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth Smile / Frown Pattern (Horace Slughorn)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2259,2018
NA,3626cpb2259,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth Smile / Frown Pattern (Horace Slughorn)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2259,2018
NA,3626cpb2807,90,"Minifigure, Head Dual Sided Dark Bluish Gray Moustache, Thick Eyebrows, Wrinkles and Cheek Lines / Spider Web over Mouth Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2807,2021
NA,3626cpb2807,90,"Minifigure, Head Dual Sided Dark Bluish Gray Moustache, Thick Eyebrows, Wrinkles and Cheek Lines / Spider Web over Mouth Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2807,2021
NA,3626bpb0685,90,"Minifigure, Head Male Brown Eyebrows, White Pupils, Smile Wrinkles and Wide Happy Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0685,2012
NA,3626bpb0493,90,"Minifigure, Head Male HP Hagrid Wrinkles Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0493,2010
NA,3626cpb0493,90,"Minifigure, Head Male HP Hagrid Wrinkles Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0493,"NA"
NA,3626cpb1642,90,"Minifigure, Head Dual Sided Black Eyebrows, Black and White Goatee, Wrinkles and Cheek Lines, Neutral / Angry Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1642,2016
NA,3626cpb1642,90,"Minifigure, Head Dual Sided Black Eyebrows, Black and White Goatee, Wrinkles and Cheek Lines, Neutral / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1642,2016
NA,3626cpb1011,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Sad / Scared Pattern (SW Anakin)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1011,2013
NA,3626cpb1011,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Sad / Scared Pattern (SW Anakin)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1011,2013
