image,item_number,color_code,description,color,emotion,link,release_year
NA,3626bpb0144,8,"Minifigure, Head NBA Allan Houston Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0144,2003
NA,3626bpb0154,8,"Minifigure, Head NBA Antoine Walker Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0154,2003
NA,3626bpb0139,8,"Minifigure, Head NBA Gary Payton Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0139,2003
NA,3626bpb0151,8,"Minifigure, Head NBA Jalen Rose Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0151,2003
NA,3626bpb0147,8,"Minifigure, Head NBA Jerry Stackhouse Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0147,2003
NA,3626bpb0142,8,"Minifigure, Head NBA Karl Malone Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0142,2003
NA,3626bpb0131,8,"Minifigure, Head NBA Kobe Bryant Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0131,2003
NA,3626bpb0146,8,"Minifigure, Head NBA Paul Pierce Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0146,2003
NA,3626bpb0135,8,"Minifigure, Head NBA Ray Allen Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0135,2003
NA,3626bpb0152,8,"Minifigure, Head NBA Shaquille O'Neal Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0152,2003
NA,3626bpb0141,8,"Minifigure, Head NBA Steve Francis Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0141,2003
NA,3626bpb0153,8,"Minifigure, Head NBA Tony Parker Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0153,2003
NA,3626bpb0137,8,"Minifigure, Head NBA Vince Carter Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0137,2003
NA,3626bpb0140,8,"Minifigure, Head NBA Allen Iverson Pattern",Reddish Brown,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0140,2003
NA,3626bpb0143,8,"Minifigure, Head NBA Chris Webber Pattern",Reddish Brown,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0143,2003
NA,3626bpb0149,8,"Minifigure, Head NBA Kevin Garnett Pattern",Reddish Brown,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0149,2003
NA,3626bpb0134,8,"Minifigure, Head NBA Tim Duncan Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0134,2003
NA,3626bpb0145,8,"Minifigure, Head NBA Tracy McGrady Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0145,2003
NA,3626bpb1008,90,"Minifigure, Head Dual Sided Brown Eyebrows, Scared Pattern / Snow Goggles and Tan Bandana Pattern (SW Han Solo)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb1008,2013
NA,3626bpb1008,90,"Minifigure, Head Dual Sided Brown Eyebrows, Scared Pattern / Snow Goggles and Tan Bandana Pattern (SW Han Solo)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb1008,2013
NA,3626cpb1737,90,"Minifigure, Head Male Black Eyebrows, White Pupils, Chin Dimple, Open Mouth Scowl Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1737,2017
NA,3626cpb1559,90,"Minifigure, Head Dark Orange Raised Eyebrows, Open Mouth Smile with Teeth and Tongue Pattern (Peter Pan)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1559,2016
NA,3626cpb1614,90,"Minifigure, Head Dual Sided Orange Visor, Angry / Brown Eyebrows, Frown Pattern (SW Rebel A-wing Pilot)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1614,2016
