image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2165,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Suspicious with Left Eyebrow Raised / Angry Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2165,2018
NA,3626cpb2165,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Suspicious with Left Eyebrow Raised / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2165,2018
NA,3626cpb2282,90,"Minifigure, Head Dual Sided Child Freckles, Dark Tan Eyebrows, Chin Dimple on Both Sides, Concerned / Crooked Smile Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2282,2019
NA,3626cpb2282,90,"Minifigure, Head Dual Sided Child Freckles, Dark Tan Eyebrows, Chin Dimple on Both Sides, Concerned / Crooked Smile Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2282,2019
NA,3626cpb2200,90,"Minifigure, Head Child Reddish Brown Eyebrows, Sneer Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2200,2018
NA,3626cpb2678,90,"Minifigure, Head Dual Sided Child Dark Orange Eyebrows, Lopsided Smile with Teeth / Laughing with Closed Eyes Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2678,2020
NA,3626cpb2678,90,"Minifigure, Head Dual Sided Child Dark Orange Eyebrows, Lopsided Smile with Teeth / Laughing with Closed Eyes Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2678,2020
NA,3626cpb2391,90,"Minifigure, Head Dual Sided Child Dark Brown Eyebrows, Dark Orange Freckles, Worried / Angry Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2391,2019
NA,3626cpb2391,90,"Minifigure, Head Dual Sided Child Dark Brown Eyebrows, Dark Orange Freckles, Worried / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2391,2019
NA,3626bpb0624,90,"Minifigure, Head Dual Sided Child Freckles, White Pupils / SW Podracer Goggles Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0624,2011
NA,3626bpb0624,90,"Minifigure, Head Dual Sided Child Freckles, White Pupils / SW Podracer Goggles Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0624,2011
NA,3626cpb0957,90,"Minifigure, Head Dual Sided Child with Freckles, Smile / Scared Pattern (Danny Reid)",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0957,2013
NA,3626cpb0957,90,"Minifigure, Head Dual Sided Child with Freckles, Smile / Scared Pattern (Danny Reid)",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0957,2013
NA,3626cpb2734,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Teeth, Concerned / Eyes Closed Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2734,2021
NA,3626cpb2734,90,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Teeth, Concerned / Eyes Closed Pattern",Light Nougat,sleepy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2734,2021
NA,3626bpb0127,90,"Minifigure, Head Child Brown Eyebrows and Freckles, Large Pupils Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0127,2007
NA,3626cpb2709,90,"Minifigure, Head Dual Sided Child Freckles, White Pupils, Dirt Stains, Reddish Brown Eyebrows PatternCatalog: Parts: Minifigure, Head",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2709,2020
