image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb1658,90,"Minifigure, Head White Eyebrows, Forehead Lines, Wrinkles, Scowl Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1658,2016
NA,3626cpb1977,90,"Minifigure, Head Black Angry Eyebrows, Silver Glasses, Gritted Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1977,2018
NA,3626cpb2224,90,"Minifigure, Head Dark and Light Bluish Gray Eyebrows, Dark Tan Facial Lines Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2224,2018
NA,3626cpb0753,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Calm / Angry Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0753,2012
NA,3626cpb0753,90,"Minifigure, Head Dual Sided Brown Eyebrows, Black Eyes with Pupils, Wrinkles, Calm / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0753,2012
NA,3626cpb2658,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Dark Orange Age Lines, Neutral / Smile Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2658,2020
NA,3626cpb2658,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Dark Orange Age Lines, Neutral / Smile Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2658,2020
NA,3626cpb1153,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Forehead Lines, Smile / Determined, Chin Strap Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1153,2014
NA,3626cpb1153,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Forehead Lines, Smile / Determined, Chin Strap Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1153,2014
NA,3626cpb2156,90,"Minifigure, Head Dark Bluish Gray Eyebrows, Dark Orange Crow's Feet and Jowel Lines, Frowning Mouth Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2156,2018
NA,3626cpb2236,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Brow and Jowl Lines, Sneer with Raised Eyebrow / Scowl Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2236,2018
NA,3626cpb2236,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Brow and Jowl Lines, Sneer with Raised Eyebrow / Scowl Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2236,2018
NA,3626cpb0812,90,"Minifigure, Head Dual Sided Brown Eyebrows, Wrinkles, Calm / Angry, Clenched Teeth Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0812,2012
NA,3626cpb0812,90,"Minifigure, Head Dual Sided Brown Eyebrows, Wrinkles, Calm / Angry, Clenched Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0812,2012
NA,3626cpb0707,90,"Minifigure, Head Dual Sided Gray Eyebrows, Wrinkles and Cheek Lines, Frown / Angry Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0707,2012
NA,3626cpb0707,90,"Minifigure, Head Dual Sided Gray Eyebrows, Wrinkles and Cheek Lines, Frown / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0707,2012
NA,3626cpb2723,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Wrinkles, Headset, Frown / Smile Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2723,2020
NA,3626cpb2723,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Wrinkles, Headset, Frown / Smile Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2723,2020
NA,3626cpb2698,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Med. Nougat Age Lines, Wide Happy / Frown Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2698,2020
NA,3626cpb2698,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Med. Nougat Age Lines, Wide Happy / Frown Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2698,2020
NA,3626cpb2813,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Wrinkles and Smile / Whistling Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2813,2021
NA,3626cpb2813,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Wrinkles and Smile / Whistling Pattern",Light Nougat,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2813,2021
NA,3626cpb1430,90,"Minifigure, Head LotR Gandalf Thick Gray Eyebrows, Cheek Lines and Wrinkles Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1430,2015
NA,3626cpb2182,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Age Lines, Lopsided Smirk / Scowl Pattern",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2182,2018
NA,3626cpb2182,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Age Lines, Lopsided Smirk / Scowl Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2182,2018
NA,3626cpb0961,150,"Minifigure, Head Dual Sided Wrinkles and Dark Red Face Paint, Mouth Closed / Mouth Open Scared Pattern",Medium Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0961,2013
NA,3626cpb0961,150,"Minifigure, Head Dual Sided Wrinkles and Dark Red Face Paint, Mouth Closed / Mouth Open Scared Pattern",Medium Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0961,2013
NA,3626cpb1122,150,"Minifigure, Head Bushy White and Gray Eyebrows, Crow's Feet and Crooked Smile Pattern",Medium Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1122,2014
