image,item_number,color_code,description,color,emotion,link,release_year
NA,3626bpb0287,68,"Minifigure, Head Black Eyebrows, Forehead Tattoo, White Pupils, Red Pattern on Reverse",Reddish Brown,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0287,2008
NA,3626cpb2237,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Dimple, Neutral / Concerned Pattern (SW Cloud Car Pilot)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2237,2018
NA,3626cpb2237,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Dimple, Neutral / Concerned Pattern (SW Cloud Car Pilot)",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2237,2018
NA,3626bpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0680,2012
NA,3626bpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0680,2012
NA,3626cpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0680,2012
NA,3626cpb0680,90,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0680,2012
NA,3626cpb2520,90,"Minifigure, Head Dual Sided Dark Tan Visor, Stern Black Eyebrows, Chin Strap / Open Mouth Happy Pattern (SW T-16 Skyhopper Pilot)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2520,2020
NA,3626cpb2520,90,"Minifigure, Head Dual Sided Dark Tan Visor, Stern Black Eyebrows, Chin Strap / Open Mouth Happy Pattern (SW T-16 Skyhopper Pilot)",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2520,2020
NA,3626cpb0817,90,"Minifigure, Head Black Eyebrows, Cheek Lines, Chin Dimple, Grimacing Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0817,2013
NA,3626cpb1222,90,"Minifigure, Head Black Eyebrows, Cheek Lines, White Pupils, Frown Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1222,2015
NA,3626cpb1257,90,"Minifigure, Head Black Eyebrows, White Pupils, Cheek Lines, Circles around Eyes, Frown Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1257,2015
NA,3626cpb1709,90,"Minifigure, Head Bright Pink Headband with Squinted Batman Eyes Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1709,2017
NA,3626cpb2194,90,"Minifigure, Head Dark Orange Eyebrows, White Pupils and Smirk Pattern",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2194,2018
NA,3626cpb1333,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows and Chin Dimple, Neutral / Angry, Bared Teeth Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1333,2014
NA,3626cpb1333,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows and Chin Dimple, Neutral / Angry, Bared Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1333,2014
NA,3626bpb0634,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0634,2011
NA,3626bpb0634,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0634,2011
NA,3626cpb0634,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0634,2011
NA,3626cpb0634,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, White Pupils, Brown Chin Dimple, Determined / Smile Pattern",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0634,2011
NA,3626cpb1367,90,"Minifigure, Head Dark Brown Eyebrows, White Pupils, Frown, Furrowed Eyebrows Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1367,2015
NA,3626cpb1263,90,"Minifigure, Head Dual Sided Black Thick Eyebrows, Cheek Lines, Closed Mouth / Open Mouth with Teeth Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1263,2012
NA,3626cpb1263,90,"Minifigure, Head Dual Sided Black Thick Eyebrows, Cheek Lines, Closed Mouth / Open Mouth with Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1263,2012
NA,3626cpb1957,90,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Worried / Disgusted Expression Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1957,2017
NA,3626cpb1957,90,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Worried / Disgusted Expression Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1957,2017
NA,3626cpb2141,90,"Minifigure, Head Black Unibrow, Wide Lopsided Happy Showing Teeth, Missing a Tooth Pattern",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2141,2018
NA,3626cpb2502,90,"Minifigure, Head Dual Sided Olive Green Face Paint, Open / Closed Happy Pattern",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2502,2019
NA,3626cpb2502,90,"Minifigure, Head Dual Sided Olive Green Face Paint, Open / Closed Happy Pattern",Light Nougat,evil,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2502,2019
NA,3626cpb2134,90,"Minifigure, Head Dual Sided Black Eyebrows, Scowl / Crooked Malicious Smile Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2134,2017
NA,3626cpb2358,90,"Minifigure, Head Dual Sided Black Eyebrows, Chin Dimple, Frown / Angry Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2358,2019
NA,3626cpb2358,90,"Minifigure, Head Dual Sided Black Eyebrows, Chin Dimple, Frown / Angry Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2358,2019
