Image,Item Id,Item Description,color,Group,DesignID ,DKK ,EUR ,Element platform
,4277967,DRAGON'S WING,26,ANIMALS AND CREATURE,6133,0.64,0.09,LEGO
,6022359,ANIMAL NO.11 ASS.,192,ANIMALS AND CREATURE,10509,20.72,2.78,LEGO
,6036454,ANIMAL NO.11 ASS. NO. 3,1,ANIMALS AND CREATURE,10509,19.84,2.66,LEGO
,6015895,SHAFT Ø3.2 WING 9M,140,ANIMALS AND CREATURE,11091,0.64,0.09,LEGO
,6020586,SHAFT Ø3.2 WING 9M,268,ANIMALS AND CREATURE,11091,0.64,0.09,LEGO
,6024604,SHAFT Ø3.2 WING 9M,297,ANIMALS AND CREATURE,11091,0.80,0.11,LEGO
,6051503,SHAFT Ø3.2 WING 9M,154,ANIMALS AND CREATURE,11091,0.64,0.09,LEGO
,6018302,WING W/SHAFT 4MM,1,ANIMALS AND CREATURE,11100,0.40,0.05,LEGO
,6074698,WING W/SHAFT 4MM,194,ANIMALS AND CREATURE,11100,0.40,0.05,LEGO
,6097514,WING W/SHAFT 4MM,297,ANIMALS AND CREATURE,11100,0.40,0.05,LEGO
,6018945,"SHEEP, FRONT DECORATED",308,ANIMALS AND CREATURE,12062,14.40,1.93,DUPLO
,6032360,"HORN 2,5M Ø3,2 WITH SHAFT",1,ANIMALS AND CREATURE,13564,0.16,0.02,LEGO
,6032363,"SKULL WITH Ø3,2 SHAFT",1,ANIMALS AND CREATURE,13695,0.56,0.08,LEGO
,6051523,LEG W Ø3.2 SHAFT 1/2 M,308,ANIMALS AND CREATURE,15064,0.32,0.04,LEGO
,6076566,LEG W Ø3.2 SHAFT 1/2 M,26,ANIMALS AND CREATURE,15064,0.32,0.04,LEGO
,6078372,LEG W Ø3.2 SHAFT 1/2 M,297,ANIMALS AND CREATURE,15064,0.32,0.04,LEGO
,6109497,LEG W Ø3.2 SHAFT 1/2 M,326,ANIMALS AND CREATURE,15064,0.24,0.03,LEGO
,6051532,ANIMAL WING W/SHAFT 4MM,26,ANIMALS AND CREATURE,15082,0.40,0.05,LEGO
,6057649,FEEDING RACK,23,ANIMALS AND CREATURE,16205,6.88,0.92,DUPLO
,6070057,Ø3.2 HOLDER MED KLO,182,ANIMALS AND CREATURE,16770,0.32,0.04,LEGO
,6071312,Ø3.2 HOLDER W. CLAW,42,ANIMALS AND CREATURE,16770,0.32,0.04,LEGO
,6072900,Ø3.2 HOLDER W. CLAW,1,ANIMALS AND CREATURE,16770,0.32,0.04,LEGO
,6081404,"HORSE, SADDLE",199,ANIMALS AND CREATURE,18306,1.12,0.15,LEGO
,6094178,"DEER LAMB ""NO 1""",38,ANIMALS AND CREATURE,19034,12.16,1.63,DUPLO
,6094187,"DEER FEMALE ""NO 1""",38,ANIMALS AND CREATURE,19038,14.72,1.98,DUPLO
,6094199,"DEER MALE ""NO 1""",38,ANIMALS AND CREATURE,19039,20.00,2.68,DUPLO
,6095870,"SQUIRREL ""NO 2""",194,ANIMALS AND CREATURE,19053,6.00,0.81,DUPLO
,6096179,DUPLO FISH,315,ANIMALS AND CREATURE,19084,3.84,0.52,DUPLO
,6102301,"LION YOUNG W/HOLE Ø 1,5 NO.1 - DEC.2",135,ANIMALS AND CREATURE,19808,3.60,0.48,LEGO
