Image,Item ID,Item Description,"Color
ID","Color
Name","Design
ID","Color
Name",Price,Savings,DKK ,USD,"# of
Buyers","Total
Qty",Alice, Bob ,Daniel F, Dave I ,Dave S,David F x2,Jordan x2,Kelli S,Michael,Nicole/Shawn,RJ,Sean E,Tom,These will all be calculated fields; no data entry in this space
,6050914,"'DOME 2X2, INVERTED W. ONE STUD",1,White,15395,White,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6105964,1/2 CIRCLE PLATE 2X6,194,Med. St-Grey,18980,Light Bluish Gray,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6105963,1/2 CIRCLE PLATE 2X6,26,Black,18980,Black,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6147792,1/2 CIRCLE PLATE 2X6,1,White,18980,White,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6133352,1/2 CIRCLE PLATE 2X6,324,Medium Lavendel,18980,Medium Lavender,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6108802,1/2 CIRCLE PLATE 2X6,21,Br.Red,18980,Red,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6173923,1/2 CIRCLE PLATE 2X6,106,Br.Orange,18980,Orange,,,0.64,$0.102,0,0,,,,,,,,,,,,,,
,6167891,1/2 CIRCLE PLATE 2X6,23,Br.Blue,18980,Blue,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6133852,1/2 CIRCLE PLATE 2X6,28,Dk.Green,18980,Green,,,0.64,$0.102,0,0,,,,,,,,,,,,,,
,6175589,1/2 CIRCLE PLATE 2X6,154,New Dark Red,18980,Dark Red,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6167854,1/2 CIRCLE PLATE 2X6,138,Sand Yellow,18980,Dark Tan,,,0.64,$0.102,0,0,,,,,,,,,,,,,,
,6173012,1/2 CIRCLE PLATE 2X6,119,Br.Yel-Green,18980,Lime,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6133225,1/2 CIRCLE PLATE 4X8,119,Br.Yel-Green,22888,Lime,,,0.88,$0.141,0,0,,,,,,,,,,,,,,
,6133767,1/2 CIRCLE PLATE 4X8,28,Dk.Green,22888,Green,,,0.88,$0.141,0,0,,,,,,,,,,,,,,
,6133200,1/2 CIRCLE PLATE 4X8,26,Black,22888,Black,,,0.80,$0.128,0,0,,,,,,,,,,,,,,
,6123812,1/2 CIRCLE PLATE 4X8,5,Brick-Yel,22888,Tan,,,0.80,$0.128,0,0,,,,,,,,,,,,,,
