rb,Picture,Element Id,Element Name,Color (common),Color TLG,Price DKK,Price EUR
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
961,,4211050,1 1/2 M CONNECTING BUSH,DBG (dark bluish gray),dark stone grey,"0,16","0,02"
3141,,6013938,1 1/2 M CONNECTING BUSH,tan,brick yellow,"0,12","0,02"
1173,,4211573,1/2 BUSH,LBG (light bluish gray),medium stone grey,"0,10","0,01"
9609,,6271167,1/2 BUSH,yellow,bright yellow,"0,07","0,01"
4641,,6105963,1/2 CIRCLE PLATE 2X6,black,black,"0,48","0,06"
4642,,6105964,1/2 CIRCLE PLATE 2X6,LBG (light bluish gray),medium stone grey,"0,49","0,07"
4689,,6108802,1/2 CIRCLE PLATE 2X6,red,bright red,"0,52","0,07"
5088,,6133352,1/2 CIRCLE PLATE 2X6,medium lavender,medium lavender,"0,57","0,08"
5133,,6133852,1/2 CIRCLE PLATE 2X6,green,dark green,"0,51","0,07"
5482,,6147709,1/2 CIRCLE PLATE 2X6,cool yellow,cool yellow,"0,58","0,08"
5487,,6147792,1/2 CIRCLE PLATE 2X6,white,white,"0,49","0,07"
5818,,6167854,1/2 CIRCLE PLATE 2X6,dark tan,sand yellow,"0,64","0,09"
5820,,6167891,1/2 CIRCLE PLATE 2X6,blue,bright blue,"0,64","0,09"
6081,,6173012,1/2 CIRCLE PLATE 2X6,lime,bright yellowish green,"0,56","0,08"
6234,,6175589,1/2 CIRCLE PLATE 2X6,dark red,dark red,"0,60","0,08"
6891,,6204060,1/2 CIRCLE PLATE 2X6,lavender,lavender,"0,65","0,09"
7087,,6210759,1/2 CIRCLE PLATE 2X6,tan,brick yellow,"0,49","0,07"
4911,,6123812,1/2 CIRCLE PLATE 4X8,tan,brick yellow,"0,81","0,11"
5078,,6133200,1/2 CIRCLE PLATE 4X8,black,black,"0,79","0,11"
5079,,6133225,1/2 CIRCLE PLATE 4X8,lime,bright yellowish green,"0,83","0,11"
5114,,6133767,1/2 CIRCLE PLATE 4X8,green,dark green,"0,92","0,12"
5132,,6133847,1/2 CIRCLE PLATE 4X8,green,bright green,"0,92","0,12"
5158,,6134869,1/2 CIRCLE PLATE 4X8,purple,bright purple,"0,94","0,13"
5242,,6138571,1/2 CIRCLE PLATE 4X8,medium azur,medium azur,"0,82","0,11"
5255,,6138699,1/2 CIRCLE PLATE 4X8,white,white,"0,81","0,11"
5320,,6141856,1/2 CIRCLE PLATE 4X8,DBG (dark bluish gray),dark stone grey,"0,81","0,11"
6216,,6175000,1/2 CIRCLE PLATE 4X8,olive green,olive green,"0,91","0,12"
6253,,6176303,1/2 CIRCLE PLATE 4X8,Bright Light Orange,flame yellowish orange,"0,89","0,12"
6522,,6186378,1/2 CIRCLE PLATE 4X8,blue,bright blue,"0,90","0,12"
6892,,6204113,1/2 CIRCLE PLATE 4X8,light royal blue,light royal blue,"0,90","0,12"
7582,,6219683,1/2 CIRCLE PLATE 4X8,dark green,earth green,"0,94","0,13"
7614,,6220971,1/2 CIRCLE PLATE 4X8,medium lavender,medium lavender,"0,85","0,11"
