Image,Item ID,Description,Color code,Colour ID,BL color,BL Part #,Main Group Top,Main Group,Price per unit EURO,USD,BL cost for 100+,BL savings %,BL URL,comments,total qty,,Alice,,WBI,,Bob x2,,Dave,,Jordan x2,,Dave Smith,,Kelli Smith,,Nicole/Shawn x2,,Cass,,Brad,,Koen,,Tom
,6105963,1/2 CIRCLE PLATE 2X6,26,BLACK,,,LEGO,"PLATES, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6105964,1/2 CIRCLE PLATE 2X6,194,MED. ST-GREY,,,LEGO,"PLATES, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108802,1/2 CIRCLE PLATE 2X6,21,BR.RED,,,LEGO,"PLATES, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133352,1/2 CIRCLE PLATE 2X6,324,MEDIUM LAVENDER,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133852,1/2 CIRCLE PLATE 2X6,28,DK.GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147709,1/2 CIRCLE PLATE 2X6,226,COOL YEL.,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6147792,1/2 CIRCLE PLATE 2X6,1,WHITE,,,LEGO,"PLATES, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6167854,1/2 CIRCLE PLATE 2X6,138,SAND YELLOW,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6167891,1/2 CIRCLE PLATE 2X6,23,BR.BLUE,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6173012,1/2 CIRCLE PLATE 2X6,119,BR.YEL-GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175589,1/2 CIRCLE PLATE 2X6,154,NEW DARK RED,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6204060,1/2 CIRCLE PLATE 2X6,325,LAVENDER,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6210759,1/2 CIRCLE PLATE 2X6,5,BRICK-YEL,,,LEGO,"PLATES, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6292824,1/2 CIRCLE PLATE 2X6,322,MEDIUM AZUR,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6123812,1/2 CIRCLE PLATE 4X8,5,BRICK-YEL,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133200,1/2 CIRCLE PLATE 4X8,26,BLACK,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133225,1/2 CIRCLE PLATE 4X8,119,BR.YEL-GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133767,1/2 CIRCLE PLATE 4X8,28,DK.GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6133847,1/2 CIRCLE PLATE 4X8,37,BR.GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6134869,1/2 CIRCLE PLATE 4X8,221,BR. PURPLE,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6138571,1/2 CIRCLE PLATE 4X8,322,MEDIUM AZUR,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6138699,1/2 CIRCLE PLATE 4X8,1,WHITE,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6141856,1/2 CIRCLE PLATE 4X8,199,DK. ST. GREY,,,LEGO,"PLATES, SPECIAL CIRC",0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6146989,1/2 CIRCLE PLATE 4X8,138,SAND YELLOW,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6175000,1/2 CIRCLE PLATE 4X8,330,OLIVE GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6176303,1/2 CIRCLE PLATE 4X8,191,FL. YELL-ORA,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6186378,1/2 CIRCLE PLATE 4X8,23,BR.BLUE,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6219683,1/2 CIRCLE PLATE 4X8,141,EARTH GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6286501,1/2 CIRCLE PLATE 4X8,18,NOUGAT,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6292996,1/2 CIRCLE PLATE 4X8,323,AQUA,,,LEGO,"PLATES, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6235153,1/2 CONE 2X4X3,199,DK. ST. GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6294038,"1/4 ARCH BRICK 3X3, W/ CUTOUT, NO. 1",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6152112,1/4 ARCH BRICK 5X5 W/CUT OUT,321,DARK AZUR,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6191995,"1/4 ARCH BRICK 5X5, W/ CUTOUT",21,BR.RED,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6213792,"1/4 ARCH BRICK 5X5, W/ CUTOUT",107,BR.BLUEGREEN,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6222942,"1/4 ARCH BRICK 5X5, W/ CUTOUT",308,DK. BROWN,,,LEGO,"BRICKS, SPECIAL CIRC",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6249289,"1/4 ARCH BRICK 5X5, W/ CUTOUT",140,EARTH BLUE,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6264059,"1/4 ARCH BRICK 5X5, W/ CUTOUT",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6267423,"1/4 ARCH BRICK 5X5, W/ CUTOUT",191,FL. YELL-ORA,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6268915,"1/4 ARCH BRICK 5X5, W/ CUTOUT",138,SAND YELLOW,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6268917,"1/4 ARCH BRICK 5X5, W/ CUTOUT",221,BR. PURPLE,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
