Image,Item ID,Item Description,Design ID,LEGO Color,BrickLink Color,BL Part ID,EUR,USD,BL Search,New,BL price,% of BL,BL part name,comments,Vote Total #,Weighted Vote Total #,Total EU,Alice,WBI,Bob,Dave Ingraham,Jordan x2,Dave Smith,Kelli Smith,NIcole and Shawn,Tom,Koen,Cass,Brad
,6211917,DESIGN BRICK 1X1X2,20310,MED. ST-GREY,,20310,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6211917,Yes,$0.59,959.35%,,x,24,28,,,,,,1,10,3,,,,7,3
,6331498,BUSH,6064,EARTH GREEN,,6064,€0.25,$0.31,https://www.bricklink.com/v2/search.page?q=6331498,Yes,$2.90,943.09%,,X,22,27,,2,,10,,1,,5,,,,3,1
,6295686,BARS FOR FRAME 1X2X2,38320,W.GOLD,,38320,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6295686,Yes,$0.36,1463.41%,,Would also require us to get a frame,24,26,,,,10,,,,,5,,,9,
,6102769,HINGE PLATE 1X2,,MED. ST-GREY,,#REF!,€0.09,$0.11,https://www.bricklink.com/v2/search.page?q=6102769,No,$0.24,216.80%,,,23,25,,,,,1,,,,20,,,2,
,6300101,WINDOW ARCH CORNER,38585,WHITE,,38585,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6300101,Yes,$0.41,833.33%,,lugbulk 2020 we got the straight piece for this,19,24,,2,,,1,,5,3,,,,3,5
,6329117,"BRICK 1X3,OUTSIDE HALF ARCH,W/ CUTOUT",70681,MED. ST-GREY,,70681,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6329117,Yes,$0.59,959.35%,,x,18,23,,2,,,1,5,,,5,,,2,3
,6266968,LIMB ELEMENT,2417,DK.GREEN,,2417,€0.06,$0.07,https://www.bricklink.com/v2/search.page?q=6266968,No,$0.27,365.85%,,x,19,21,,,,,,5,,,,,,9,5
,6222362,PLATE 1X2 WITH SLIDE,32028,SAND GREEN,,32028,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6222362,No,$0.49,1991.87%,,x,20,20,,,,20,,,,,,,,,
,6123814,PLATE 1X2 W/5.9 BALL END,,DK. ST. GREY,,#REF!,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6123814,No,$0.12,195.12%,,,20,20,,,,,,,,,20,,,,
,6247369,BOTTLE 1X1X2 M,28662,TR.,,95228,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6247369,No,$0.44,715.45%,,,20,20,,,,,20,,,,,,,,
,6306721,"TILE 3X3, CIRCLE, NO. 1",67095,MED. ST-GREY,,67095,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6306721,Yes,$1.01,2052.85%,,Cobblestones. Huge value!,16,20,,1,,,,5,,,5,,,4,1
,6148262,PROFILE BRICK 1X2 SINGLE GRO.,98283,BRICK-YEL,,98283,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6148262,No,$0.17,691.06%,,x,16,19,,,,,,,5,3,5,,,,3
,6314383,Profile brick 1x2 single gro.,98283,DK.ORA,,98283,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6314383,Yes,$0.31,840.11%,,x,15,19,,1,,,,1,5,3,,,,,5
,6254256,FLAT TILE 1X1,35403,TR.L.BLUE,,3070b,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6254256,No,$0.17,691.06%,,For water technique,16,17,,,,,,,,,,,15,,1
,6278550,PLATE 1X1 ROUND W/ 3.2 SHAFT,26047,SAND GREEN,,26047,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6278550,No,$0.28,1138.21%,,x,14,17,,1,,10,,,,,,,,2,1
,6299937,BRICK W/ BOW 2X2X1 1/3,67810,WHITE,,67810,€0.09,$0.11,https://www.bricklink.com/v2/search.page?q=6299937,Yes,$1.00,903.34%,,x,13,17,,1,,,1,,3,,,,,3,5
,6232136,PROFILE BRICK 1x4 SINGLE GRO.,15533,BRICK-YEL,,15533,€0.08,$0.10,https://www.bricklink.com/v2/search.page?q=6232136,No,$0.39,396.34%,,x,13,15,,,,,,,5,3,5,,,,
,6314891,PROFILE BRICK 1x4 SINGLE GRO.,15533,MED. ST-GREY,,15533,€0.08,$0.10,https://www.bricklink.com/v2/search.page?q=6314891,Yes,$0.36,365.85%,,x,13,15,,,,,,,5,3,5,,,,
,6305049,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,MED. ST-GREY,,66956,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6305049,Yes,$0.20,542.01%,,x,12,15,,1,,,,,,,5,,5,,1
,6314192,"BRICK 1X2X1 2/3, W/ 8 KNOBS",67329,DK. ST. GREY,,67329,€0.16,$0.20,https://www.bricklink.com/v2/search.page?q=6314192,Yes,$1.11,564.02%,,x,11,15,,1,,,,1,,,5,1,,,3
,6249289,"1/4 ARCH BRICK 5X5, W/ CUTOUT",24599,EARTH BLUE,,24599,€0.12,$0.15,https://www.bricklink.com/v2/search.page?q=6249289,No,$0.77,521.68%,,x,13,14,,,,10,,,,,,,,,3
,6285587,"HANDLE, NO. 1",65578,TR.,,65578,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6285587,Yes,$0.22,596.21%,,x,12,14,,,,,1,,,,,,9,2,
