item_number,description,category,item_link
js019,"Airplane Pilot with Black Pants, Black Shirt and Black Cap with Logo",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js019
js008,"Aviator, Tan Pants and Brown Jacket",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js008
js017,"Bank Robber with Dark Gray Legs, Red Shirt and Blue Cap",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js017
js011,Bank Robber with Red Legs and Black Hair,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js011
4j003a,"Construction Worker with Blue Shirt, Green Vest and Cap with the Word 'Brick', Sunglasses and Moustache",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j003a
4j003,"Construction Worker with Blue Shirt, Green Vest and Cap, Sunglasses and Moustache",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j003
js022,"Crewman with Blue Overalls, Red Shirt",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js022
js023,"Crewman with Dark Turquoise Shirt and Pants, Tan Arms",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js023
js027,"Crewman with Dark Turquoise Vest and Pants, Red Arms",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js027
4j005a,Dr. Octopus (Otto Octavius) / Doc Ock (Junior-fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j005a
4j005,Dr. Octopus (Otto Octavius) / Doc Ock with Grabber Arms (Junior-fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j005
js001,Fireman in Hat #01,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js001
js007,Fireman in Hat #07,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js007
js020,"Jack Stone - Black Jacket, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js020
js028,"Jack Stone - Black Jacket, Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js028
js009,"Jack Stone - Black Jacket, Blue Legs, Blue Sash",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js009
js013,"Jack Stone - Black Jacket, Blue Legs, Blue Vest",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js013
js026,"Jack Stone - Blue Jacket, Blue Pants",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js026
js002,"Jack Stone - Blue Jacket, Blue Pants, Gray Shirt",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js002
js004,"Jack Stone - Gray Jacket, Blue legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js004
js021,Jack Stone - Green Jacket,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js021
js025,Jack Stone - Orange Jacket,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js025
js015,"Jack Stone - Red Jacket, Blue Overalls and Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js015
cre002,"Jake, Light Gray Torso, Brown Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre002
cre006,"Lee, Orange Hair, Black Legs, Black and White Torso",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre006
cre004,"Max, Black Torso, Light Gray Arms, Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre004
cre003,"Max, Blue Torso, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre003
cre011,"Max, Red Torso, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre011
js024,Mechanic in Green Overalls with Octan Pattern,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js024
4j012,Peter Parker (Junior-Fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j012
4j011,Pirates - Cannonball Jimmy,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j011
4j015,Pirates - Captain Kragg,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j015
4j014,Pirates - Captain Redbeard,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j014
4j016,Pirates - Drake Dagger,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j016
4j010,Pirates - Harry Hardtack,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j010
4j013,Pirates - Jolly Jack Crow,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j013
4j009,Pirates - Scurvy Dog,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j009
4j007,"Police - Black Legs, Black Jacket, White Helmet, Light Nougat Head",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j007
4j002,"Police - Black Legs, Black Jacket, White Helmet, Yellow Head",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j002
4j017,"Police - Blue Legs, Black Jacket, Black Cap",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j017
js016,"Police - Blue Legs, Black Jacket, Black Cap with Star",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js016
js012,"Police - Blue Legs, Black Jacket, Blue Cap with Star, Sunglasses",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js012
4j008,"Police - Blue Legs, Black Jacket, Blue Cap, Sunglasses",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j008
