parts_id,count,head_link,num_minifigs,type,num_outside,perc_not,has_outside,minifigs_link
28621pb0034,1,https://bricklink.com/v2/catalog/catalogitem.page?P=28621pb0034,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=28621pb0034&in=M
28621pb0035,1,https://bricklink.com/v2/catalog/catalogitem.page?P=28621pb0035,2,neutral,1,50,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=28621pb0035&in=M
3626bpb0522,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0522,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0522&in=M
3626bpb0524,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0524,4,male,1,25,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0524&in=M
3626bpb0526,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0526,4,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0526&in=M
3626bpb0532,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0532,4,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0532&in=M
3626bpb0592,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0592,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0592&in=M
3626bpb0767,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0767,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626bpb0767&in=M
3626c,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626c,121,neutral,117,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626c&in=M
3626cpb0471,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0471,78,neutral,76,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0471&in=M
3626cpb0522,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0522,3,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0522&in=M
3626cpb0524,11,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0524,16,male,5,31,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0524&in=M
3626cpb0526,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0526,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0526&in=M
3626cpb0532,11,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0532,16,male,5,31,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0532&in=M
3626cpb0595,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0595,18,neutral,17,94,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0595&in=M
3626cpb0629,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0629,39,female,38,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0629&in=M
3626cpb0633,7,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0633,144,female,137,95,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0633&in=M
3626cpb0654,4,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0654,3,neutral,-1,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0654&in=M
3626cpb0681,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0681,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0681&in=M
3626cpb0690,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0690,28,neutral,27,96,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0690&in=M
3626cpb0846,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0846,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0846&in=M
3626cpb0849,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0849,30,male,27,90,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0849&in=M
3626cpb0852,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0852,45,male,44,98,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0852&in=M
3626cpb0877,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0877,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0877&in=M
3626cpb0978,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0978,6,male,5,83,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb0978&in=M
3626cpb1035,15,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1035,16,male,1,6,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1035&in=M
3626cpb1040,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1040,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1040&in=M
3626cpb1041,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1041,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1041&in=M
3626cpb1047,14,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1047,16,male,2,12,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1047&in=M
3626cpb1203,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1203,5,male,4,80,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1203&in=M
3626cpb1211,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1211,70,female,68,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1211&in=M
3626cpb1214,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1214,11,neutral,9,82,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1214&in=M
3626cpb1216,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1216,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1216&in=M
3626cpb1221,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1221,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1221&in=M
3626cpb1277,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1277,29,female,28,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1277&in=M
3626cpb1289,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1289,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1289&in=M
3626cpb1290,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1290,33,neutral,32,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1290&in=M
3626cpb1294,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1294,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1294&in=M
3626cpb1297,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1297,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1297&in=M
3626cpb1326,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1326,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1326&in=M
3626cpb1330,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1330,10,male,9,90,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1330&in=M
3626cpb1334,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1334,5,female,2,40,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1334&in=M
3626cpb1335,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1335,14,male,13,93,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1335&in=M
3626cpb1336,3,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1336,3,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1336&in=M
3626cpb1337,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1337,14,neutral,13,93,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1337&in=M
