era,character,seconds,minutes
1,Anakin Skywalker / Darth Vader,7455,124.25
1,Beru Lars,105,1.75
1,Boba Fett,135,2.25
1,Boss Nass,180,3
1,C-3PO,540,9
1,Captain Panaka,450,7.5
1,Captain Tarpals,90,1.5
1,Captain Typho,135,2.25
1,Chewbacca,60,1
1,Cliegg Lars,120,2
1,Commander Cody,75,1.25
1,Count Dooku / Darth Tyrannus,690,11.5
1,Darth Maul,360,6
1,Dexter Jettster,105,1.75
1,Dorme,90,1.5
1,General Grievous,360,6
1,Governor Sio Bibble,195,3.25
1,Grand Moff Tarkin,15,0.25
1,Jabba the Hutt,30,0.5
1,Jango Fett,285,4.75
1,Jar Jar Binks,1215,20.25
1,Ki-Adi-Mundi,255,4.25
1,Lama Su,120,2
1,Leia Organa,30,0.5
1,Luke Skywalker,45,0.75
1,Mace Windu,870,14.5
1,Nute Gunray,495,8.25
1,Obi-Wan Kenobi,5550,92.5
1,Owen Lars,120,2
1,Padme Amidala,1290,21.5
1,Qui-Gon Jinn,2130,35.5
1,R2-D2,1050,17.5
1,Sabe,135,2.25
1,Sebulba,105,1.75
1,Senator Bail Organa,315,5.25
1,Padme Amidala,3030,50.5
1,Palpatine / Darth Sidious,435,7.25
1,Shmi Skywalker,555,9.25
1,Palpatine / Darth Sidious,1725,28.75
1,Supreme Chancellor Valorum,90,1.5
1,Taun We,150,2.5
1,Watto,360,6
1,Yoda,1500,25
1,Zam Wesell,165,2.75
2,Admiral Ackbar,165,2.75
2,Admiral Piett,60,1
2,Admiral Piett,135,2.25
2,Beru Lars,105,1.75
2,Bib Fortuna,165,2.75
2,Biggs Darklighter,60,1
2,Boba Fett,165,2.75
2,C-3PO,2835,47.25
2,Captain Needa,90,1.5
2,Chewbacca,2280,38
2,Anakin Skywalker / Darth Vader,1350,22.5
2,Anakin Skywalker / Darth Vader,885,14.75
2,Palpatine / Darth Sidious,435,7.25
2,General Dodonna,90,1.5
2,General Rieekan,90,1.5
2,Grand Moff Tarkin,330,5.5
2,Han Solo,3645,60.75
2,Jabba the Hutt,375,6.25
2,Lando Calrissian,870,14.5
2,Lobot,75,1.25
2,Luke Skywalker,6390,106.5
2,Moff Jerjerod,90,1.5
2,Mon Mothma,60,1
2,Nien Nunb,90,1.5
2,Obi-Wan Kenobi,1050,17.5
2,Obi-Wan Kenobi,195,3.25
2,Owen Lars,195,3.25
2,Leia Organa,3450,57.5
2,R2-D2,2190,36.5
2,Wedge Antilles,150,2.5
2,Wicket,210,3.5
2,Yoda,990,16.5
3,Admiral Ackbar,30,0.5
3,Allegiant General Pryde,180,3
3,Babu Frik,90,1.5
3,BB-8,1320,22
3,Beaumont,90,1.5
3,Ben Solo / Kylo Ren,2055,34.25
3,C-3PO,900,15
3,Captain Phasma,210,3.5
3,Chewbacca,1185,19.75
3,Commander D'Acy,165,2.75
3,D-0,135,2.25
3,DJ,225,3.75
3,Palpatine / Darth Sidious,360,6
3,Finn,4440,74
3,General Hux,615,10.25
3,Leia Organa,1155,19.25
3,Han Solo,1335,22.25
3,Jannah,300,5
3,Ben Solo / Kylo Ren,1230,20.5
3,Lando Calrissian,180,3
3,Lor San Tekka,105,1.75
3,Lt. Connix,240,4
3,Luke Skywalker,1500,25
3,Maz Kanata,345,5.75
3,Nien Nunb,60,1
3,Paige Tico,90,1.5
3,Poe Dameron,2805,46.75
3,R2-D2,255,4.25
3,Rey Skywalker,4395,73.25
3,Rey Skywalker,3345,55.75
3,Rose Tico,960,16
3,Snap Wexley,90,1.5
3,Supreme Leader Snoke,405,6.75
3,Unkar Plutt,60,1
3,Vice-Admiral Amilyn Holdo,330,5.5
3,Wedge Antilles,0,0
3,Wicket,0,0
3,Yoda,120,2
3,Zorii Bliss,270,4.5
