item_number,description,category
sw0006,Aldar Beedo,Star Wars Episode 1
sw0979,Aldar Beedo (One Piece),Star Wars Episode 1
sw0007,Anakin Skywalker (Brown Aviator Cap),Star Wars Episode 1
sw0008,Anakin Skywalker (Light Gray Aviator Cap),Star Wars Episode 1
sw0159,Anakin Skywalker (Short Legs),Star Wars Episode 1
sw0640,"Anakin Skywalker (Short Legs, Detailed Shirt)",Star Wars Episode 1
sw0349,"Anakin Skywalker (Short Legs, Hair)",Star Wars Episode 1
sw0327,"Anakin Skywalker (Short Legs, Helmet)",Star Wars Episode 1
sw1001,"Anakin Skywalker (Short Legs, Reddish Brown Aviator Cap)",Star Wars Episode 1
sw0306,Aurra Sing - Large Eyes,Star Wars Episode 1
sw0048,Battle Droid Commander,Star Wars Episode 1
sw0095,Battle Droid Pilot with Blue Torso and Straight Arm,Star Wars Episode 1
sw0300,Battle Droid Pilot with Blue Torso with Tan Insignia,Star Wars Episode 1
sw0065,Battle Droid Pilot with Tan Torso with Blue Insignia,Star Wars Episode 1
sw0047,Battle Droid Security,Star Wars Episode 1
sw0347,Battle Droid Security with Straight Arm - Dot Pattern on Torso,Star Wars Episode 1
sw0001a,Battle Droid Tan with Back Plate,Star Wars Episode 1
sw0321,Captain Panaka,Star Wars Episode 1
sw0639,Captain Tarpals,Star Wars Episode 1
sw0003,Darth Maul,Star Wars Episode 1
sw0394,Darth Maul (Silver Neck Clasp Torso),Star Wars Episode 1
sw0686,Darth Maul (Waist Sash with Pocket Torso),Star Wars Episode 1
sw0650,Darth Maul - Printed Legs,Star Wars Episode 1
sw0323,Darth Maul without Hood,Star Wars Episode 1
sw0808,"Darth Maul, without Cape",Star Wars Episode 1
sw0429,DRK-1 Dark Eye Probe Droid (Black with Stand),Star Wars Episode 1
sw0652,DRK-1 Dark Eye Probe Droid (Black),Star Wars Episode 1
sw0967,Droideka - Destroyer Droid (Black Claws),Star Wars Episode 1
sw0164,Droideka - Destroyer Droid (Copper Top),Star Wars Episode 1
sw0348,Droideka - Destroyer Droid (Reddish Brown Top),Star Wars Episode 1
sw0642s,Droideka - Destroyer Droid (Reddish Brown Triangles with Stickers),Star Wars Episode 1
sw0642,Droideka - Destroyer Droid (Reddish Brown Triangles without Stickers),Star Wars Episode 1
sw0043,Gasgano,Star Wars Episode 1
sw0013,Gungan Soldier,Star Wars Episode 1
sw0302,Gungan Soldier (Printed Head),Star Wars Episode 1
sw0628,Gungan Warrior,Star Wars Episode 1
sw0017,Jar Jar Binks,Star Wars Episode 1
sw0301,Jar Jar Binks (Printed Head),Star Wars Episode 1
sw0479,Mace Windu (White Legs),Star Wars Episode 1
sw0641,Naboo Fighter Pilot - Medium Nougat Jacket,Star Wars Episode 1
sw0340,Naboo Fighter Pilot - Red Jumpsuit,Star Wars Episode 1
sw0160,Naboo Fighter Pilot - Tan Jacket,Star Wars Episode 1
sw0594,Naboo Security Guard,Star Wars Episode 1
sw0022,Naboo Security Officer,Star Wars Episode 1
sw0638,Naboo Security Officer - Light Nougat Head,Star Wars Episode 1
sw0409,Obi-Wan Kenobi (Breathing Apparatus),Star Wars Episode 1
sw0024,Obi-Wan Kenobi (Young with Hood and Cape),Star Wars Episode 1
sw0329,"Obi-Wan Kenobi (Young with Hood and Cape, Tan Legs, Smile)",Star Wars Episode 1
sw0069,Obi-Wan Kenobi (Young with Padawan Braid Pattern),Star Wars Episode 1
sw0592,"Obi-Wan Kenobi (Young, Printed Legs)",Star Wars Episode 1
sw0812,"Obi-Wan Kenobi (Young, Printed Legs, without Cape)",Star Wars Episode 1
sw0173,"Obi-Wan Kenobi - Young, Light Nougat, Brown Hood and Cape, Tan Legs",Star Wars Episode 1
sw0324,Padme Naberrie (Amidala),Star Wars Episode 1
sw0025,Padme Naberrie (Amidala) (Yellow),Star Wars Episode 1
sw1023,"Padme Naberrie (Amidala), Medium Legs",Star Wars Episode 1
sw1119,Pit Droid,Star Wars Episode 1
sw0037,Pit Droid (Anakin's),Star Wars Episode 1
sw0039,Pit Droid (Gasgano's),Star Wars Episode 1
sw0064,Pit Droid (Sebulba's),Star Wars Episode 1
sw0591,PK-4 Droid,Star Wars Episode 1
sw0387,Queen Amidala,Star Wars Episode 1
sw0410,Qui-Gon Jinn (Breathing Apparatus),Star Wars Episode 1
sw0651,"Qui-Gon Jinn (Poncho, Printed Legs)",Star Wars Episode 1
sw0593,Qui-Gon Jinn (Printed Legs),Star Wars Episode 1
sw0027,Qui-Gon Jinn (Yellow Head),Star Wars Episode 1
sw0172a,"Qui-Gon Jinn - Light Nougat Head with Black Chin Dimple, Brown Hood and Cape",Star Wars Episode 1
sw0172,"Qui-Gon Jinn - Light Nougat Head, Brown Hood and Cape",Star Wars Episode 1
sw0322,"Qui-Gon Jinn - Light Nougat Head, Reddish Brown Legs and Cape",Star Wars Episode 1
sw0810,"Qui-Gon Jinn, without Cape",Star Wars Episode 1
sw0169,Republic Captain,Star Wars Episode 1
sw0170,Republic Pilot,Star Wars Episode 1
sw0980,Sebulba,Star Wars Episode 1
sw0326,Sebulba - Movable Arms,Star Wars Episode 1
sw0385,"TC-14 Protocol Droid - Chrome Silver with Blue, Red and White Wires Pattern",Star Wars Episode 1
sw0546,TC-4 Protocol Droid,Star Wars Episode 1
sw0328,Wald,Star Wars Episode 1
sw0038,Watto,Star Wars Episode 1
sw0325,Watto (Dark Bluish Gray Hands),Star Wars Episode 1
sw0649,Watto (Tan Hands),Star Wars Episode 1
sw0833,Aayla Secura,Star Wars Episode 2
sw0284,Aayla Secura - Large Eyes,Star Wars Episode 2
sw0099,Anakin Skywalker (Grown Up) with Cape,Star Wars Episode 2
sw0100,Anakin Skywalker (Grown Up) without Cape,Star Wars Episode 2
sw0488,"Anakin Skywalker (Padawan, Combed Hair)",Star Wars Episode 2
sw0456,"Astromech Droid, R4-P17",Star Wars Episode 2
sw0269,Barriss Offee - Black Cape and Hood,Star Wars Episode 2
sw0909,Barriss Offee - Skirt,Star Wars Episode 2
