item_number,description,category,item_link,parts_link,release_year
s011,"'S' - White with Red / Black Stripe, Black Legs, Red Classic Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s011,https://www.bricklink.com/catalogItemInv.asp?M=s011,1987
s002,"'S' - White with Red / Black Stripe, Red Legs, Red Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s002,https://www.bricklink.com/catalogItemInv.asp?M=s002,1988
s001,"'S' - White with Red / Black Stripe, Red Legs, White Helmet, Trans-Light Blue Visor",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s001,https://www.bricklink.com/catalogItemInv.asp?M=s001,1988
s010,"'S' - White with Red / Black Stripe, White Legs, Black Classic Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s010,https://www.bricklink.com/catalogItemInv.asp?M=s010,1986
s005,"'S' - White with Red / Black Stripe, White Legs, Black Helmet, Trans-Light Blue Visor",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s005,https://www.bricklink.com/catalogItemInv.asp?M=s005,1991
s009,"'S' - White with Red / Black Stripe, White Legs, Blue Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s009,https://www.bricklink.com/catalogItemInv.asp?M=s009,1990
s012,"'S' - White with Red / Black Stripe, White Legs, Blue Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s012,https://www.bricklink.com/catalogItemInv.asp?M=s012,1993
s008,"'S' - White with Red / Black Stripe, White Legs, Red Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s008,https://www.bricklink.com/catalogItemInv.asp?M=s008,1993
s007,"'S' - White with Red / Black Stripe, White Legs, Red Classic Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s007,https://www.bricklink.com/catalogItemInv.asp?M=s007,1986
s006,"'S' - White with Red / Black Stripe, White Legs, White Helmet, Trans-Light Blue Visor",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s006,https://www.bricklink.com/catalogItemInv.asp?M=s006,1988
s004,"'S' - Yellow with Blue / Gray Stripe, Blue Legs, Blue Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s004,https://www.bricklink.com/catalogItemInv.asp?M=s004,1988
s003,"'S' - Yellow with Blue / Gray Stripe, Light Gray Legs, Black Construction Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=s003,https://www.bricklink.com/catalogItemInv.asp?M=s003,1986
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn421,https://www.bricklink.com/catalogItemInv.asp?M=twn421,2022
