item_number,description,category,item_link,parts_link,release_year,parts_id,parts_description
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn421,https://www.bricklink.com/catalogItemInv.asp?M=twn421,2022,970c00,Black Hips  and Legs Plain 
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn421,https://www.bricklink.com/catalogItemInv.asp?M=twn421,2022,95674,"Black Minifigure, Headgear Hat, Bowler "
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn421,https://www.bricklink.com/catalogItemInv.asp?M=twn421,2022,973pb3159c01,"Black Torso Town Vest with Pockets, Back Creases and Blue Striped Tie over White Collar Shirt Pattern / White Arms / Yellow Hands "
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn421,https://www.bricklink.com/catalogItemInv.asp?M=twn421,2022,3626cpb2199,"Yellow Minifigure, Head Beard with Thick Gray Eyebrows, Angular Beard, Open White Mouth, White Pupils Pattern - Hollow Stud "
cty1187,"Air Traffic Controller - Male, Reddish Brown Hair, Orange Safety Vest, Dark Tan Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1187,https://www.bricklink.com/catalogItemInv.asp?M=cty1187,2020,970c00,Dark Tan Hips  and Legs Plain 
cty1187,"Air Traffic Controller - Male, Reddish Brown Hair, Orange Safety Vest, Dark Tan Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1187,https://www.bricklink.com/catalogItemInv.asp?M=cty1187,2020,973pb2017c01,"Orange Torso Safety Vest with Reflective Stripes over Medium Blue Shirt, ID Badge, Red Pen Around Neck Pattern / Medium Blue Arms / Yellow Hands "
cty1187,"Air Traffic Controller - Male, Reddish Brown Hair, Orange Safety Vest, Dark Tan Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1187,https://www.bricklink.com/catalogItemInv.asp?M=cty1187,2020,62810,"Reddish Brown Minifigure, Hair Short Tousled with Side Part "
cty1187,"Air Traffic Controller - Male, Reddish Brown Hair, Orange Safety Vest, Dark Tan Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1187,https://www.bricklink.com/catalogItemInv.asp?M=cty1187,2020,3626cpb1966,"Yellow Minifigure, Head Male Smirk, Peach Dimple, Pupils, Stubble Beard, Moustache, and Sideburns Pattern - Hollow Stud "
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1183,https://www.bricklink.com/catalogItemInv.asp?M=cty1183,2020,970c00pb0748,Dark Blue Hips and Legs with Dark Orange Stripes Pattern 
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1183,https://www.bricklink.com/catalogItemInv.asp?M=cty1183,2020,973pb3556c01,Dark Blue Torso Jumpsuit with Orange Stripes and White Minifigure ID Badge Pattern / Dark Blue Arms / Yellow Hands 
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1183,https://www.bricklink.com/catalogItemInv.asp?M=cty1183,2020,18899pb01,"Red Minifigure, Headgear Helmet Construction with Black Ear Protector / Headphones Pattern "
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1183,https://www.bricklink.com/catalogItemInv.asp?M=cty1183,2020,3626cpb2519,"Yellow Minifigure, Head Black Eyebrows, White Pupils, Cheek Scuff, Lopsided Grin Pattern - Hollow Stud "
