item_number,description,category
s011,"'S' - White with Red / Black Stripe, Black Legs, Red Classic Helmet",Town
s002,"'S' - White with Red / Black Stripe, Red Legs, Red Cap",Town
s001,"'S' - White with Red / Black Stripe, Red Legs, White Helmet, Trans-Light Blue Visor",Town
s010,"'S' - White with Red / Black Stripe, White Legs, Black Classic Helmet",Town
s005,"'S' - White with Red / Black Stripe, White Legs, Black Helmet, Trans-Light Blue Visor",Town
s009,"'S' - White with Red / Black Stripe, White Legs, Blue Cap",Town
s012,"'S' - White with Red / Black Stripe, White Legs, Blue Helmet",Town
s008,"'S' - White with Red / Black Stripe, White Legs, Red Cap",Town
s007,"'S' - White with Red / Black Stripe, White Legs, Red Classic Helmet",Town
s006,"'S' - White with Red / Black Stripe, White Legs, White Helmet, Trans-Light Blue Visor",Town
s004,"'S' - Yellow with Blue / Gray Stripe, Blue Legs, Blue Helmet",Town
s003,"'S' - Yellow with Blue / Gray Stripe, Light Gray Legs, Black Construction Helmet",Town
twn421,"Accountant - Male, Black Vest with Blue Striped Tie, Black Legs, Black Bowler Hat, Beard",Town
cty1187,"Air Traffic Controller - Male, Reddish Brown Hair, Orange Safety Vest, Dark Tan Legs",Town
air028,"Airport - Blue 3 Button Jacket & Tie, Black Male Hair, Freckles",Town
air038,"Airport - Blue 3 Button Jacket & Tie, Blue Hat, Dark Bluish Gray Legs",Town
air039,"Airport - Blue 3 Button Jacket & Tie, Blue Hat, Dark Bluish Gray Legs, Vertical Cheek Lines",Town
air041,"Airport - Blue 3 Button Jacket & Tie, Chopper Pilot",Town
air047,"Airport - Blue 3 Button Jacket & Tie, Dark Brown Hair Ponytail Long French Braided",Town
air045,"Airport - Blue 3 Button Jacket & Tie, Light Bluish Gray Legs, Reddish Brown Male Hair, Thin Grin with Teeth",Town
air023,"Airport - Blue 3 Button Jacket & Tie, Red Cap, Blue Legs, Orange Vest",Town
air034,"Airport - Blue 3 Button Jacket & Tie, Red Cap, Blue Legs, Orange Vest, Eyebrows",Town
air026,"Airport - Blue 3 Button Jacket & Tie, Red Cap, Freckles",Town
air036,"Airport - Blue 3 Button Jacket & Tie, Red Cap, Silver Sunglasses with Thin Smile",Town
air027,"Airport - Blue 3 Button Jacket & Tie, Red Construction Helmet, Freckles",Town
air035,"Airport - Blue 3 Button Jacket & Tie, Reddish Brown Male Hair, Glasses with Thin Eyebrow",Town
air046,"Airport - Blue 3 Button Jacket and Tie, Blue Hat, Blue Legs (Undetermined Eyebrows)",Town
air046a,"Airport - Blue 3 Button Jacket and Tie, Blue Hat, Blue Legs, Black Eyebrows",Town
air046b,"Airport - Blue 3 Button Jacket and Tie, Blue Hat, Blue Legs, Reddish Brown Eyebrows",Town
air010b,"Airport - Blue with Scarf, Black Female Hair (Reissue)",Town
air010,"Airport - Blue with Scarf, Black Female Hair (Undetermined Type)",Town
air010a,"Airport - Blue with Scarf, Black Female Hair (Vintage)",Town
air021,"Airport - Blue with Scarf, Black Female Hair, Wide Smile and Eyebrows",Town
air009,"Airport - Blue, Blue Legs, Black Male Hair",Town
air018,"Airport - Blue, Blue Legs, Blue Cap",Town
air017,"Airport - Blue, Blue Legs, Dark Gray Helmet, Black Visor",Town
air007,"Airport - Blue, Blue Legs, Red Cap",Town
air008,"Airport - Blue, Blue Legs, Red Construction Helmet",Town
air025,"Airport - Blue, Blue Legs, White Fire Helmet, Breathing Hose, White Air Tanks, Nose Freckles",Town
air016,"Airport - Blue, Light Gray Legs, Red Female Hair",Town
air001,"Airport - Classic, Black Legs, Black Fire Helmet",Town
air006,"Airport - Classic, Blue Legs, Black Male Hair",Town
air005,"Airport - Classic, Blue Legs, Blue Cap",Town
air011,"Airport - Classic, Red Legs, Black Female Hair",Town
air004,"Airport - Classic, Red Legs, Red Cap",Town
air012,"Airport - Classic, White Legs, Black Male Hair",Town
air003,"Airport - Classic, White Legs, Red Cap",Town
air052,Airport - Jet Pilot Female,Town
air051,Airport - Jet Pilot Male,Town
air022,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Brown Eyebrows, Thin Grin",Town
air044,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Glasses and Open Smile",Town
air042,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Orange Sunglasses",Town
air032,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Silver Glasses",Town
air024,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Standard Grin",Town
air043,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Vertical Cheek Lines",Town
air048,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Reddish Brown Hair, Brown Beard Rounded",Town
air029,"Airport - Pilot with Red Tie and 6 Buttons, White Legs, Black Hat, Standard Grin",Town
air030,"Airport - Pilot with Red Tie and 6 Buttons, White Legs, Black Ponytail Hair, Standard Grin",Town
air002,"Airport - Pilot, Black Legs, Black Hat",Town
air055,"Airport - Pilot, Black Legs, Red Tie and 6 Buttons, Black Hat, Black and Silver Sunglasses",Town
air013,"Airport - Pilot, Black Legs, White Hat",Town
air037,"Airport - Pilot, Blue Legs, Black Hat",Town
wc025,"Airport - Pilot, Dark Blue Legs, Dark Blue Top, Black Hat",Town
air019,"Airport - Pilot, Light Bluish Gray Legs, White Hat",Town
air014,"Airport - Pilot, Light Gray Legs, White Hat",Town
air020,"Airport - Pilot, White Legs, Black Ponytail Hair",Town
air015,"Airport - Pilot, White Legs, Red Ponytail Hair",Town
air049,"Airport - Pilot, White Shirt with Dark Blue Tie, Belt and ID Badge, Black Legs, Black Hat",Town
cty0403,"Airport - Pilot, White Shirt with Dark Green Tie and Belt, Black Legs, Black Hat",Town
air053,Airport - Stunt Pilot Female,Town
air054,Airport - Stunt Pilot Male,Town
cty1183,"Airport Flagman - Male, Red Helmet with Earmuffs, Dark Blue Jumpsuit with Orange Stripes",Town
cty0949,"Airport Flagman, Red Helmet with Earmuffs, Blue Jacket with Orange Stripes and Legs",Town
cty0950,"Airport Luggage Handler, Female, Red Helmet with Ponytail, Orange Reflective Uniform",Town
cty0841,Airshow Jet Pilot,Town
cty1266,"Airshow Jet Pilot - Bright Light Orange Jacket, Dark Blue Legs, White Helmet, Oxygen Mask",Town
twn221,Al the Barber,Town
cty1349,"Ambulance Driver - Female, Dark Turquoise and Neon Yellow Safety Vest, Sand Green Legs",Town
zip028,"Ambulance Driver, White Cap, White Jacket with Zipper, White Legs",Town
cty0713,"Angler Female, Sand Blue Legs, Reddish Brown Hair, Peach Lips, Life Jacket Center Buckle",Town
cty0714,"Angler Male, Dark Tan Legs, Dark Red Cap, Silver Sunglasses, Life Jacket Center Buckle",Town
arc002,"Arctic - Black, Black Hood, Backpack",Town
arc003,"Arctic - Black, Blue Cap",Town
arc004,"Arctic - Black, White Cap",Town
arc005,"Arctic - Blue, Blue Hood, Black Legs",Town
arc006,"Arctic - Blue, Blue Hood, Black Legs, Snowshoes",Town
arc013,"Arctic - Blue, Blue Hood, White Legs",Town
arc007,"Arctic - Green, Green Cap",Town
arc008,"Arctic - Green, Green Hood",Town
arc009,"Arctic - Red, Medic",Town
arc001,"Arctic - Red, White Helmet",Town
cty0551,Arctic Captain,Town
cty0923,Arctic Climber,Town
cty0929,Arctic Expedition Leader,Town
cty0903,"Arctic Explorer - Ski Beanie Hat, Light Blue Ski Goggles",Town
cty0928,"Arctic Explorer - Ushanka Hat, Orange Sunglasses",Town
cty0927,"Arctic Explorer Female - Dirt Bike Helmet, Goggles",Town
cty0926,"Arctic Explorer Female - Fur-Lined Hood, Light Blue Ski Goggles",Town
cty0931,Arctic Explorer Female - Ski Beanie Hat,Town
cty0906,"Arctic Explorer Female - Ski Beanie Hat, Light Blue Ski Goggles, Snowshoes",Town
cty0491,"Arctic Explorer, Female",Town
cty0554,"Arctic Explorer, Female with Snowshoes",Town
cty0493,"Arctic Explorer, Male with Green Goggles",Town
cty0497,"Arctic Explorer, Male with Green Goggles and Snowshoes",Town
cty0492,"Arctic Explorer, Male with Orange Goggles",Town
cty0495,Arctic Helicopter Pilot,Town
cty0490,Arctic Helicrane Pilot,Town
cty0905,Arctic Photographer / Biologist,Town
cty0924,Arctic Plane / Quadcopter Pilot Female,Town
cty0498,Arctic Plane Pilot,Town
cty0496,Arctic Research Assistant,Town
cty0553,"Arctic Research Assistant with Snowshoes, Dark Blue Legs and Knit Cap",Town
cty0552,Arctic Scientist,Town
cty0494,"Arctic Scientist - Dark Brown Hair, Beard",Town
cty0509,Arctic Scout,Town
cty0904,Arctic Snowmobile Driver,Town
twn193,"Artist, Female",Town
cty0727,Astronaut - Female,Town
cty1036,"Astronaut - Female, Blue Jumpsuit, Reddish Brown Hair Swept Back Into Bun, Open Mouth Smile",Town
cty1067,"Astronaut - Female, Blue Jumpsuit, Tan Hair Tousled with Side Part, Freckles, Open Smile with Teeth",Town
twn411,"Astronaut - Female, Flat Silver Spacesuit with Harness and White Panel with Classic Space Logo, Reddish Brown Hair",Town
cty1008,"Astronaut - Female, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Freckles with Smirk and Winking",Town
cty1065,"Astronaut - Female, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Open Mouth Smile",Town
cty1064,"Astronaut - Female, White Spacesuit with Orange Lines, Closed Mouth Smile",Town
cty1039,"Astronaut - Female, White Spacesuit with Orange Lines, Side Lamp, Smile",Town
twn303,Astronaut - Male with Backpack,Town
cty1040,"Astronaut - Male, Blue Jumpsuit, Black Hair Short Tousled with Side Part, Queasy and Open Mouth Smile",Town
cty1068,"Astronaut - Male, Blue Jumpsuit, Dark Bluish Gray Hair and Full Angular Beard, Open Mouth Smile",Town
cty1041,"Astronaut - Male, Blue Jumpsuit, Dark Brown Hair Short Combed Sideways Part Left, Scared and Lopsided Smile",Town
cty1028,"Astronaut - Male, Bright Light Blue Spacesuit with Blue Belt, Trans Orange Large Visor, Open Mouth Smile",Town
twn400,"Astronaut - Male, Flat Silver Spacesuit with Harness and White Panel with Classic Space Logo, Stubble",Town
cty1063,"Astronaut - Male, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Black Angular Beard",Town
cty1034,"Astronaut - Male, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Large Smile with Eyes Closed and Smirk",Town
cty1059,"Astronaut - Male, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Stubble",Town
cty1061,"Astronaut - Male, Orange Spacesuit with Dark Bluish Gray Lines, Trans Light Blue Large Visor, Stubble, Moustache and Sideburns",Town
cty1009,"Astronaut - Male, White Spacesuit with Lime Belt, Trans Orange Large Visor, Stubble and Smirk",Town
cty1092,"Astronaut - Male, White Spacesuit with Orange Lines, Side Camera and Lamp, Goatee",Town
cty1027,"Astronaut - Male, White Spacesuit with Orange Lines, Side Lamp, Smirk and Cheek Lines",Town
cty1055,"Astronaut - Male, White Spacesuit with Orange Lines, Smirk, Cheek Lines, Black and Dark Tan Eyebrows",Town
cty1055a,"Astronaut - Male, White Spacesuit with Orange Lines, Smirk, Cheek Lines, Black Eyebrows",Town
cty1076,"Astronaut - Male, White Spacesuit with Orange Lines, Thin Grin",Town
cty0562,Astronaut with Cap,Town
cty0561,"Astronaut, Male with Side Lamp",Town
cty0384,"Astronaut, White Legs, Underwater Helmet, Visor",Town
cty0729,"ATV Driver - Female, Jacket with Number 8 on Back, Dark Bluish Gray Legs, Black Helmet",Town
cty1096,"ATV Driver - Male, 'ViTA RUSH' Uniform, Orange Legs, Dark Blue Helmet",Town
cty0728,"ATV Driver - Male, Open Hoodie, Dark Blue Legs, Red Cap",Town
cty1101,Automobile Purchaser,Town
cty1186,Baby - Dark Turquoise Body with Yellow Hands,Town
cty0894,Baby - Medium Azure Body with Yellow Hands,Town
cty0668,Baby - White Body with Yellow Hands,Town
cty0918,Baby - Yellowish Green Body with Yellow Hands,Town
twn420,Backpacker,Town
twn269,Baker (Chef),Town
twn269a,"Baker (Chef) - White Torso with 8 Buttons, No Wrinkles Front or Back, Light Bluish Gray Legs",Town
cty1268,"Baker - Male, Reddish Brown Apron with Cup and Name Tag, White Chef Toque",Town
twn273,Ballerina,Town
twn215,Balloon Vendor,Town
bnk002,"Bank - Black Legs, White Hat, Moustache",Town
bnk003,"Bank - Black Legs, White Hat, Sunglasses",Town
bnk001,"Bank - Green Legs, Brown Male Hair",Town
twn251,Bank Manager,Town
twn252,Bank Secretary,Town
twn252a,Bank Secretary - Suit with Pockets,Town
twn248,Bank Teller,Town
cty1049,"Barista - Female, Reddish Brown Apron with Cup and Name Tag, Medium Nougat Hair",Town
cty1048,"Barista - Male, Reddish Brown Apron with Cup and Name Tag, Black Hair",Town
twn345,"Barista Female with Reddish Brown Apron with Cup and Name Tag Pattern, Reddish Brown Female Hair Mid-Length",Town
twn270,Barista with Gray Shading at Sides,Town
twn270a,Barista without Gray Shading at Sides,Town
cty0765,Beach Janitor - Blue Overalls and Dark Blue Cap,Town
cty0769,Beach Lifeguard,Town
