"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"1","82059pb01","Minifigure, Hair and Sideburns, Swept Back and Spiked with 6 Nougat Ears Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=82059pb01","https://www.bricklink.com/catalogItemIn.asp?P=82059pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=82059pb01#T=C","Black"
"2","44758","Minifigure, Hair Angular and Spiky with Parted Bangs","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=44758","https://www.bricklink.com/catalogItemIn.asp?P=44758&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=44758#T=C","Dark Brown"
"3","53982","Minifigure, Hair Angular Swept Back - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53982","https://www.bricklink.com/catalogItemIn.asp?P=53982&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53982#T=C","Bright Green"
"4","53982","Minifigure, Hair Angular Swept Back - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53982","https://www.bricklink.com/catalogItemIn.asp?P=53982&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53982#T=C","Dark Purple"
"5","53982","Minifigure, Hair Angular Swept Back - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53982","https://www.bricklink.com/catalogItemIn.asp?P=53982&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53982#T=C","Red"
"6","53981","Minifigure, Hair Angular Swept Sideways - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53981","https://www.bricklink.com/catalogItemIn.asp?P=53981&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53981#T=C","Black"
"7","53981","Minifigure, Hair Angular Swept Sideways - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53981","https://www.bricklink.com/catalogItemIn.asp?P=53981&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53981#T=C","Medium Blue"
"8","53981","Minifigure, Hair Angular Swept Sideways - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=53981","https://www.bricklink.com/catalogItemIn.asp?P=53981&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=53981#T=C","Red"
"9","38800","Minifigure, Hair Bowl Cut Parted in Center","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=38800","https://www.bricklink.com/catalogItemIn.asp?P=38800&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=38800#T=C","Black"
"10","38800","Minifigure, Hair Bowl Cut Parted in Center","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=38800","https://www.bricklink.com/catalogItemIn.asp?P=38800&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=38800#T=C","Dark Brown"
