Image,Item ID,Item Description,LEGO Color ID,LEGO Color,BrickLink Color,BL Color ID,Category,Subcategory,Design ID,BL Part ID,Platform,DKK,EUR,USD,BrickSet,Brick Owl,BL Search,BL Price Guide,Sort,BL Image,New,BL or B&P price (current),BL 6mo QtyAvg,% Discount,Parts of interest- the short list,notes,total qt,Total EU,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!
,6378109,ELEPHANT TRUNK,308,DK. BROWN,Dark Brown,120,ANIMALS AND CREATURE,ACCESSORIES,80497,43892,LEGO, kr.0.45,€0.06,$0.07,https://brickset.com/sets/containing-part-6378109,https://brickowl.com/search/catalog?query=6378109&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6378109,https://www.bricklink.com/catalogPG.asp?P=43892&colorID=120,1,,Yes,,$0.14,101.75%,TRUE,useful for trees?,,,,,,,,,,,,,,1,,,
,6369856,"HORSE, SADDLE",308,DK. BROWN,Dark Brown,120,ANIMALS AND CREATURE,ACCESSORIES,66246,4491b,LEGO, kr.4.98,€0.67,$0.76,https://brickset.com/sets/containing-part-6369856,https://brickowl.com/search/catalog?query=6369856&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6369856,https://www.bricklink.com/catalogPG.asp?P=4491b&colorID=120,1,,Yes,$2.31,$0.00,202.44%,TRUE,Saddle hasn't been released in several years. New color.,,,,,1,,,1,,,,,,,,1,
,6351430,"NECK - TAIL LINK, DIA. 7.84- DIA.6,47",330,OLIVE GREEN,Olive Green,155,ANIMALS AND CREATURE,ACCESSORIES,51274,40378,LEGO, kr.1.12,€0.15,$0.17,https://brickset.com/sets/containing-part-6351430,https://brickowl.com/search/catalog?query=6351430&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6351430,https://www.bricklink.com/catalogPG.asp?P=40378&colorID=155,1,,Yes,$0.67,$0.44,156.73%,,Foliage/tree part?,,,,,,,,,,,,,,,,,
,6326087,"NECK - TAIL LINK, DIA. 7.84- DIA.6,47",192,RED. BROWN,Reddish Brown,88,ANIMALS AND CREATURE,ACCESSORIES,51274,40378,LEGO, kr.1.19,€0.16,$0.18,https://brickset.com/sets/containing-part-6326087,https://brickowl.com/search/catalog?query=6326087&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6326087,https://www.bricklink.com/catalogPG.asp?P=40378&colorID=88,1,,No,$0.23,$0.35,26.10%,TRUE,Foliage/tree part?,,,,,,,,1,,,,,,,,,
,6351429,"NECK - TAIL, DIA. 15,83 - DIA. 7,84",330,OLIVE GREEN,Olive Green,155,ANIMALS AND CREATURE,ACCESSORIES,67361,67361,LEGO, kr.3.42,€0.46,$0.52,https://brickset.com/sets/containing-part-6351429,https://brickowl.com/search/catalog?query=6351429&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6351429,https://www.bricklink.com/catalogPG.asp?P=67361&colorID=155,1,,Yes,$1.57,$0.60,15.18%,,Foliage/tree part?,,,,,,,,,,,,,,,,,
,6383996,"NECK - TAIL, DIA. 15,83 - DIA. 7,84",192,RED. BROWN,Reddish Brown,88,ANIMALS AND CREATURE,ACCESSORIES,67361,67361,LEGO, kr.3.50,€0.47,$0.54,https://brickset.com/sets/containing-part-6383996,https://brickowl.com/search/catalog?query=6383996&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6383996,https://www.bricklink.com/catalogPG.asp?P=67361&colorID=88,1,,Yes,$1.57,$0.00,193.02%,TRUE,"Foliage/tree part?  [BL PRICE IS AN EDUCATED GUESS BASED ON FEW CURRENTLY AVAILABLE. WHEN BL PRICE IS A GUESS, CELL IS YELLOW COLOR]",,,1,,,,,1,,,,,,,,,
,6351434,"TIP OF THE TAIL Ø6,47",330,OLIVE GREEN,Olive Green,155,ANIMALS AND CREATURE,ACCESSORIES,40379,40379,LEGO, kr.0.37,€0.05,$0.06,https://brickset.com/sets/containing-part-6351434,https://brickowl.com/search/catalog?query=6351434&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6351434,https://www.bricklink.com/catalogPG.asp?P=40379&colorID=155,1,,Yes,$0.25,$0.45,338.60%,TRUE,Foliage/tree part?,,,,,,,1,,,,,,,,,,
,6372430,"TIP OF THE TAIL Ø6,47",192,RED. BROWN,Reddish Brown,88,ANIMALS AND CREATURE,ACCESSORIES,40379,40379,LEGO, kr.0.37,€0.05,$0.06,https://brickset.com/sets/containing-part-6372430,https://brickowl.com/search/catalog?query=6372430&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6372430,https://www.bricklink.com/catalogPG.asp?P=40379&colorID=88,1,,Yes,$0.25,$0.00,338.60%,TRUE,Foliage/tree part?,,,,,,,1,1,,,,,,,,,
,6375490,"CAT, NO. 16",199,DK. ST. GREY,Dark Bluish Gray,85,ANIMALS AND CREATURE,ANIMALS,84786,80686pb01,LEGO, kr.2.60,€0.35,$0.40,https://brickset.com/sets/containing-part-6375490,https://brickowl.com/search/catalog?query=6375490&jump=1&cat=1#comesin,https://www.bricklink.com/v2/search.page?q=6375490,https://www.bricklink.com/catalogPG.asp?P=80686pb01&colorID=85,1,,Yes,$1.28,$0.00,220.80%,TRUE,,,,1,,1,,,,,,,,1,,,,
