"","ID","Name","Year","Parts","Sets","link"
"1","1","White","1949 - 2025","16377","12114","https://www.bricklink.com/catalogList.asp?v=2&colorID=1"
"2","49","Very Light Gray","1997 - 2004","21","24","https://www.bricklink.com/catalogList.asp?v=2&colorID=49"
"3","99","Very Light Bluish Gray","2004 - 2013","54","51","https://www.bricklink.com/catalogList.asp?v=2&colorID=99"
"4","86","Light Bluish Gray","2003 - 2025","5187","8356","https://www.bricklink.com/catalogList.asp?v=2&colorID=86"
"5","9","Light Gray","1954 - 2008","1865","3205","https://www.bricklink.com/catalogList.asp?v=2&colorID=9"
"6","10","Dark Gray","1961 - 2006","1048","1705","https://www.bricklink.com/catalogList.asp?v=2&colorID=10"
"7","85","Dark Bluish Gray","2003 - 2025","4434","7674","https://www.bricklink.com/catalogList.asp?v=2&colorID=85"
"8","11","Black","1957 - 2025","13552","13934","https://www.bricklink.com/catalogList.asp?v=2&colorID=11"
"9","59","Dark Red","1957 - 2025","2009","2258","https://www.bricklink.com/catalogList.asp?v=2&colorID=59"
"10","5","Red","1949 - 2025","8704","11711","https://www.bricklink.com/catalogList.asp?v=2&colorID=5"
"11","167","Reddish Orange","2024 - 2025","166","154","https://www.bricklink.com/catalogList.asp?v=2&colorID=167"
"12","231","Dark Salmon","2003 - 2003","5","4","https://www.bricklink.com/catalogList.asp?v=2&colorID=231"
"13","25","Salmon","1997 - 1999","83","27","https://www.bricklink.com/catalogList.asp?v=2&colorID=25"
"14","220","Coral","2019 - 2025","283","511","https://www.bricklink.com/catalogList.asp?v=2&colorID=220"
"15","26","Light Salmon","1997 - 2002","51","23","https://www.bricklink.com/catalogList.asp?v=2&colorID=26"
"16","58","Sand Red","2001 - 2004","39","18","https://www.bricklink.com/catalogList.asp?v=2&colorID=58"
"17","120","Dark Brown","2007 - 2025","894","2128","https://www.bricklink.com/catalogList.asp?v=2&colorID=120"
"18","168","Umber","2024 - 2025","10","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=168"
"19","8","Brown","1974 - 2006","578","1100","https://www.bricklink.com/catalogList.asp?v=2&colorID=8"
"20","88","Reddish Brown","2003 - 2025","2554","5347","https://www.bricklink.com/catalogList.asp?v=2&colorID=88"
"21","91","Light Brown","2002 - 2006","42","31","https://www.bricklink.com/catalogList.asp?v=2&colorID=91"
"22","240","Medium Brown","2022 - 2025","87","90","https://www.bricklink.com/catalogList.asp?v=2&colorID=240"
"23","106","Fabuland Brown","1979 - 1991","7","26","https://www.bricklink.com/catalogList.asp?v=2&colorID=106"
"24","69","Dark Tan","1961 - 2025","1363","3018","https://www.bricklink.com/catalogList.asp?v=2&colorID=69"
"25","2","Tan","1957 - 2025","2945","5827","https://www.bricklink.com/catalogList.asp?v=2&colorID=2"
"26","90","Light Nougat","2004 - 2025","2092","2065","https://www.bricklink.com/catalogList.asp?v=2&colorID=90"
"27","241","Medium Tan","2022 - 2025","191","119","https://www.bricklink.com/catalogList.asp?v=2&colorID=241"
"28","28","Nougat","1979 - 2025","408","458","https://www.bricklink.com/catalogList.asp?v=2&colorID=28"
"29","150","Medium Nougat","2010 - 2025","1360","2234","https://www.bricklink.com/catalogList.asp?v=2&colorID=150"
"30","225","Dark Nougat","2001 - 2004","3","10","https://www.bricklink.com/catalogList.asp?v=2&colorID=225"
