"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","age","expression","gender","expressionOne","expressionTwo","otherAttr","expressionDivOne","expressionDivTwo"
"1",1,"3626px304","Minifigure, Head Beard Gray with Gray Eyebrows, Sideburns and Crow's Feet Wrinkles Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626px304","https://www.bricklink.com/catalogItemIn.asp?P=3626px304&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px304#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px304&ColorID=3","#f3d000","old"," Sideburns and Crow's Feet Wrinkles Pattern","male-coded","none","none","none","NA","NA"
"2",2,"3626pb0173","Minifigure, Head Beard Stubble, Black Eyebrows, Wide Mouth, White Pupils Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0173","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0173&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0173#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0173&ColorID=3","#f3d000","no tag"," White Pupils Pattern","male-coded","none","none","none","NA","NA"
"3",3,"3626pb0161","Minifigure, Head Beard with Goatee, Unibrow and Eye Whites Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0161","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0161&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0161#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0161&ColorID=3","#f3d000","no tag"," Unibrow and Eye Whites Pattern","male-coded","none","none","none","NA","NA"
"4",4,"3626px132","Minifigure, Head Beard with Gray Hair, Moustache, and Angry Eyebrows Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626px132","https://www.bricklink.com/catalogItemIn.asp?P=3626px132&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px132#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px132&ColorID=3","#f3d000","no tag"," and Angry Eyebrows Pattern","male-coded","none","none","none","NA","NA"
"5",5,"3626pb0055","Minifigure, Head Black Eyebrows, Large Eyes, Messy White Hair, Wide Lopsided Open Mouth Smile with Top Teeth and Gap Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0055","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0055&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0055#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0055&ColorID=3","#f3d000","no tag"," Wide Lopsided Open Mouth Smile with Top Teeth and Gap Pattern","no tag","Smile","none","none","Happy","NA"
"6",6,"3626pb0186","Minifigure, Head Black Eyebrows, Left Raised, Moustache and Sideburns Stubble, Lopsided Open Mouth Smile with Teeth and Lower Lip, Missing Tooth Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0186","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0186&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0186#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0186&ColorID=3","#f3d000","no tag"," Missing Tooth Pattern","male-coded","Smile","none","none","Happy","NA"
"7",7,"3626px127","Minifigure, Head Black Eyebrows, Moustache with Upturned Ends, Goatee, Monocle, Red Scar, Angry Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626px127","https://www.bricklink.com/catalogItemIn.asp?P=3626px127&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px127#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px127&ColorID=3","#f3d000","no tag"," Angry Pattern","male-coded","none","none","none","NA","NA"
"8",8,"3626px129","Minifigure, Head Black Thin Eyebrows, Curled Moustache, Hair with Bangs, Striped Sideburns and Chin Dimple, Small Lopsided Open Mouth Smile Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626px129","https://www.bricklink.com/catalogItemIn.asp?P=3626px129&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px129#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px129&ColorID=3","#f3d000","no tag"," Small Lopsided Open Mouth Smile Pattern","male-coded","Smile","none","none","Happy","NA"
"9",9,"3626pb0183","Minifigure, Head Female with Orient Jing Lee Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0183","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0183&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0183#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0183&ColorID=3","#f3d000","no tag"," Head Female with Orient Jing Lee Pattern","female-coded","none","none","none","NA","NA"
"10",10,"3626px128","Minifigure, Head Female with Red Lips, Brown Hair and Eyebrows Pattern",2003,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626px128","https://www.bricklink.com/catalogItemIn.asp?P=3626px128&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626px128#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626px128&ColorID=3","#f3d000","no tag"," Brown Hair and Eyebrows Pattern","female-coded","none","none","none","NA","NA"
