"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode"
"1",27,"3626pb3187","Minifigure, Head Black Eyebrows and Beard Stubble with Smirk and Chin Dimple Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3187","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3187&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3187#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3187&ColorID=241","#d9c594"
"2",28,"3626pb3016","Minifigure, Head Black Eyebrows and Beard with White Spots, Reddish Brown Lines over Eyes, Smile with Teeth Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3016","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3016&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3016#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3016&ColorID=150","#dd9f55"
"3",29,"3626pb3235","Minifigure, Head Black Eyebrows and Beard, Light Bluish Gray Highlights Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3235","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3235&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3235#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3235&ColorID=88","#843419"
"4",30,"3626pb3155","Minifigure, Head Black Eyebrows and Moustache, Chin Dimple, Smile Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3155","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3155&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3155#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3155&ColorID=88","#843419"
"5",31,"3626pb3156","Minifigure, Head Black Eyebrows, Bright Light Blue Hearing Aid on Left with Black Ear Insert, Lopsided Open Mouth Smile with Teeth Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3156","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3156&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3156#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3156&ColorID=88","#843419"
"6",32,"3626pb3081","Minifigure, Head Black Eyebrows, Bright Light Blue Hearing Aid on Left, Lopsided Open Mouth Smile with Teeth Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3081","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3081&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3081#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3081&ColorID=3","#f3d000"
"7",33,"3626pb3075","Minifigure, Head Black Eyebrows, Dark Brown Thin Curly Moustache, Grin Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3075","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3075&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3075#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3075&ColorID=3","#f3d000"
"8",34,"3626pb3066","Minifigure, Head Black Eyebrows, Dark Orange Eye Shadow and Chin Dimple, Nougat Cheek Lines, Neutral Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3066","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3066&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3066#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3066&ColorID=241","#d9c594"
"9",35,"3626pb2934","Minifigure, Head Black Eyebrows, Eyes with White Pupils, Hair on Back Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb2934","https://www.bricklink.com/catalogItemIn.asp?P=3626pb2934&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb2934#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb2934&ColorID=3","#f3d000"
"10",36,"3626pb3158","Minifigure, Head Black Eyebrows, Full Beard, Hair on Back, Zigzag Styling Pattern",2022,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3158","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3158&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3158#T=C","Medium Nougat",150,"https://www.bricklink.com/catalogPG.asp?P=3626pb3158&ColorID=150","#dd9f55"
