"","item_number","description","category"
"1","33464","Minifigure, Baby / Toddler Head with Neck (Plain)","2022"
"2","33464pb07","Minifigure, Baby / Toddler Head with Neck with Standard Skull Pattern","2022"
"3","3626pb3252","Minifigure, Head Alien Balaclava with Dark Bluish Gray Lines and Dark Red Bar on Back over Light Aqua Face with Light Bluish Gray Eyes and Cracks Pattern","2022"
"4","3626pb3064","Minifigure, Head Alien Black Eyebrows, Contour Lines, Frown, Dark Bluish Gray and White Hair on Back Pattern","2022"
"5","3626pb3108","Minifigure, Head Alien Black Eyebrows, Dark Bluish Gray Cheek Lines, Dark Red Skin Texture / Tattoos on Front and Back Pattern","2022"
"6","3626pb3109","Minifigure, Head Alien Female with Blue Face, Dark Blue Lips, Mechanical Left Eye, Copper Plates, and Silver Stripes on Back Pattern","2022"
"7","3626pb3031","Minifigure, Head Alien Light Bluish Gray Bushy Eyebrows and Cheek Lines, Magenta Eyes and Diamond Shape Tattoo, Scowl with Teeth Pattern","2022"
"8","3626pb2957","Minifigure, Head Alien Robot with Gold Circuitry, Medium Azure Eyes, Black Smile, and Bright Green Battery Indicator on Back Pattern","2022"
"9","3626pb3048","Minifigure, Head Alien Silver Flame Tattoos, Magenta and Bright Pink Eyes and Mouth, Gold Teeth Pattern","2022"
"10","3626pb3221","Minifigure, Head Alien SW Mythrol, Dark Azure Eyes and Contour Lines, Blue Spots on Forehead and Back, Frown Pattern","2022"
"11","3626pb3102","Minifigure, Head Alien SW Weequay with Reddish Brown Facial Lines and Eye Shadow, Frown, Braided Ponytails on Back Pattern","2022"
"12","3626pb3107","Minifigure, Head Alien with Black Eyebrows and Nose Slits, Light Bluish Gray Contours, Tan Teeth, Red Tongue Pattern (HP Voldemort)","2022"
"13","3626pb3021","Minifigure, Head Alien with Black Eyes and Wide Smile with Dark Pink Tongue Pattern","2022"
"14","3626pb3038","Minifigure, Head Alien with Cyborg Eyepiece, Magenta Eye, Copper Teeth, Black Fu Manchu Moustache Pattern","2022"
"15","3626pb2951","Minifigure, Head Alien with Spider-Man Dark Red Webbing, Large White Eyes with Light Bluish Gray Edges and Black Borders Pattern","2022"
"16","3626pb2952","Minifigure, Head Alien with Spider-Man Red Webbing, Large White Eyes with Light Bluish Gray Edges and Red Borders Pattern","2022"
"17","3626pb3144","Minifigure, Head Alien with SW Duros Blue Face, Dark Blue Facial Lines, Large Red Eyes, Frown, and Black Breathing Tube Ports (Cad Bane) Pattern","2022"
"18","3626pb3251","Minifigure, Head Alien with SW Pau'an Red Eyes, Light Bluish Gray Lines and Dark Bluish Gray Markings Pattern (Grand Inquisitor)","2022"
"19","3626pb3054","Minifigure, Head Alien with White Eyes with Magenta Flames Pattern","2022"
"20","3626pb3063","Minifigure, Head Alien Zombie Black Eyebrows and Moustache, Yellow Eyes, Open Mouth with Teeth, Sand Blue Streaks Pattern","2022"
"21","3626pb3018","Minifigure, Head Alien, White Teeth, Dark Bluish Gray Cheek Lines, Eyebrows and Wrinkles, Orange Eyes, Smile Pattern","2022"
"22","3626pb3014","Minifigure, Head Balaclava Female over Reddish Brown Face, Black Eyebrows, Dark Brown Lips, Open Mouth Smile with Top Teeth and Red Tongue Pattern","2022"
"23","3626pb3012","Minifigure, Head Balaclava, Light Nougat Face, Black Eyebrows, Lopsided Grin, Medium Nougat Chin Cleft Pattern","2022"
"24","3626pb3077","Minifigure, Head Balaclava, Yellow Eyes and Mouth with Black Outlines, Silver Spots and Diamond on Forehead, Scowl Pattern","2022"
"25","3626pb3037","Minifigure, Head Balaclava, Yellow Face with Black Eyebrows, Magenta Sharp Teeth Pattern","2022"
"26","3626pb3093","Minifigure, Head Balaclava, Yellow Face, Sweat Drops Pattern","2022"
"27","3626pb3187","Minifigure, Head Black Eyebrows and Beard Stubble with Smirk and Chin Dimple Pattern","2022"
"28","3626pb3016","Minifigure, Head Black Eyebrows and Beard with White Spots, Reddish Brown Lines over Eyes, Smile with Teeth Pattern","2022"
"29","3626pb3235","Minifigure, Head Black Eyebrows and Beard, Light Bluish Gray Highlights Pattern","2022"
"30","3626pb3155","Minifigure, Head Black Eyebrows and Moustache, Chin Dimple, Smile Pattern","2022"
"31","3626pb3156","Minifigure, Head Black Eyebrows, Bright Light Blue Hearing Aid on Left with Black Ear Insert, Lopsided Open Mouth Smile with Teeth Pattern","2022"
"32","3626pb3081","Minifigure, Head Black Eyebrows, Bright Light Blue Hearing Aid on Left, Lopsided Open Mouth Smile with Teeth Pattern","2022"
"33","3626pb3075","Minifigure, Head Black Eyebrows, Dark Brown Thin Curly Moustache, Grin Pattern","2022"
"34","3626pb3066","Minifigure, Head Black Eyebrows, Dark Orange Eye Shadow and Chin Dimple, Nougat Cheek Lines, Neutral Pattern","2022"
"35","3626pb2934","Minifigure, Head Black Eyebrows, Eyes with White Pupils, Hair on Back Pattern","2022"
"36","3626pb3158","Minifigure, Head Black Eyebrows, Full Beard, Hair on Back, Zigzag Styling Pattern","2022"
"37","3626pb3032","Minifigure, Head Black Eyebrows, Furrowed Brow, Crow's Feet, Cheek Lines and Water Drops Pattern","2022"
"38","3626pb2968","Minifigure, Head Black Eyebrows, Gold Stars, Medium Nougat Cheek Lines and Cleft Chin, Smile with Teeth Pattern","2022"
"39","3626pb3130","Minifigure, Head Black Eyebrows, Grin, Medium Nougat Dimple and Chin Pattern","2022"
"40","3626pb3152","Minifigure, Head Black Eyebrows, Raised Left, Chin Dimple, Open Mouth Smile with Teeth Pattern","2022"
"41","3626pb2939","Minifigure, Head Black Eyebrows, Reddish Brown Mutton Chops and Van Dyke Beard, Open Smile Pattern","2022"
"42","3626pb3080","Minifigure, Head Black Eyebrows, Silver Goggles with Dark Purple Strap, Black Soul Patch Beard and Lightning Tattoos on Cheeks Pattern","2022"
"43","3626pb3097","Minifigure, Head Black Eyebrows, White Pupils, Medium Nougat Cheek Lines, Chin Dimple, Open Mouth with Teeth, Angry Pattern","2022"
"44","3626pb3357","Minifigure, Head Black Stones on Forehead and Cheeks, Orange Eyes, White Teeth, Scowl Pattern","2022"
"45","3626pb3161","Minifigure, Head Black Thick Eyebrows Raised, Scowl with Teeth Pattern","2022"
"46","3626pb2973","Minifigure, Head Black Thick Eyebrows, 3 Bright Light Blue Sweat Drops, Open Mouth with Teeth Pattern","2022"
"47","3626pb2942","Minifigure, Head Black Thick Eyebrows, Left Raised, Wide Sinister Smile with Teeth Pattern","2022"
"48","3626pb2978","Minifigure, Head Child Black Eyebrows, Single Eyelashes, Glasses with Red Frames, Lopsided Grin Pattern","2022"
"49","3626pb2979","Minifigure, Head Clown Thick Black Eyebrows, Star on Right Eye, Red Cheeks, Open Mouth Smile Pattern (BAM)","2022"
"50","3626pb3358","Minifigure, Head Dark Azure Eyebrows, Silver Eyes, White Teeth, Ice on Forehead and Cheeks, Scowl Pattern","2022"
"51","3626pb3142","Minifigure, Head Dark Bluish Gray Eyebrows, Light Bluish Gray and Dark Bluish Gray Full Beard, Laugh Lines, and White Pupils Pattern","2022"
"52","3626pb3127","Minifigure, Head Dark Bluish Gray Eyebrows, Medium Nougat Wrinkles, Wide Grin Pattern","2022"
"53","3626pb3027","Minifigure, Head Dark Brown Eyebrows, Black Rectangular Glasses, Open Mouth Smile, White Teeth, Chin Dimple Pattern","2022"
"54","3626pb3052","Minifigure, Head Dark Brown Eyebrows, Stubble, Nougat Cheek Lines and Chin Dimple Pattern","2022"
"55","3626pb2941","Minifigure, Head Dark Orange Eyebrows and Chin Whiskers, Medium Nougat Cheek Lines Pattern","2022"
"56","3626pb3079","Minifigure, Head Dark Tan Eyebrows, Black Single Eyelashes, Medium Nougat Cheek Lines and Chin Dimple, Neutral Pattern","2022"
"57","3626pb2972","Minifigure, Head Dark Tan Thick Eyebrows, Black Mask, Chin Dimple, Open Mouth with Teeth, Lopsided Grin Pattern","2022"
"58","3626pb3119","Minifigure, Head Dual Side, Dark Brown Eyebrows and Goatee, Medium Nougat Wrinkles, Neutral / Smile Pattern","2022"
"59","3626pb3071","Minifigure, Head Dual Sided Alien Black Eyebrows, Nougat Face, Wink, Neutral with Full Cheek / Lopsided Bared Teeth, Gold Eye, and Dark Tan Dirt Stains Pattern","2022"
"60","3626pb2961","Minifigure, Head Dual Sided Alien Female Dark Turquoise Eyebrows, Silver Freckles, Dark Azure Lips, Cheek Lines, Smile / Scowl Pattern","2022"
"61","3626pb2965","Minifigure, Head Dual Sided Alien Large Black Mouth with Dark Turquoise Tongue, Half Open / Fully Open Pattern","2022"
"62","3626pb3050","Minifigure, Head Dual Sided Alien Robot Female with Black Eyebrows, Single Eyelashes, Bright Green Eyes, Silver Lips, Dark Purple Circuitry, Open Mouth Smile / Angry Frown Pattern","2022"
"63","3626pb3100","Minifigure, Head Dual Sided Alien with Red Eyes, Bared Pointed Teeth, Medium Nougat Wrinkles, Neutral / Frown with Narrow Open Mouth Pattern","2022"
"64","3626pb3020","Minifigure, Head Dual Sided Alien, Light Bluish Gray Face Outlines and Contours, Neutral / Asleep Pattern (Beethoven Bust)","2022"
"65","3626pb3139","Minifigure, Head Dual Sided Alien, Light Bluish Gray Fish Bone Mask, Dark Azure Mouth, Sand Green Gills, Frown / Gritted Teeth Pattern","2022"
"66","3626pb2976","Minifigure, Head Dual Sided Alien, Thick Black Eyebrows, Green Cheek Dimples, Scared / Wide Grin with Teeth Pattern","2022"
"67","3626pb3023","Minifigure, Head Dual Sided Beard Stubble, Reddish Brown Eyebrows, Black Snake Tattoo, Mouth Closed / Mouth Open Pattern","2022"
"68","3626pb3076","Minifigure, Head Dual Sided Black and Gold Sunglasses, Stubble, Neutral / Open Mouth Smile with Raised Lenses Pattern","2022"
"69","3626pb3088","Minifigure, Head Dual Sided Black Bushy Eyebrows, Licking Lips / Blowing House Down Pattern","2022"
"70","3626pb3008","Minifigure, Head Dual Sided Black Bushy Eyebrows, Mutton Chops and Stubble, Medium Nougat Wrinkles, Furrowed Brow, Open Mouth Smile and Lower Right Eyelid / Angry Bared Teeth and Silver Goggles with White Lens Pattern","2022"
"71","3626pb3062","Minifigure, Head Dual Sided Black Eyebrows and Beard, Neutral / Grin with Raised Left Eyebrow Pattern","2022"
"72","3626pb2987","Minifigure, Head Dual Sided Black Eyebrows and Eyes, 2 Red Spots, Eyebrow Raised Smirk / Angry Pattern","2022"
"73","3626pb3146","Minifigure, Head Dual Sided Black Eyebrows and Glasses, Medium Nougat Lightning Scar, Lopsided Grin / Open Mouth Smile with Teeth Parted Pattern","2022"
"74","3626pb3060","Minifigure, Head Dual Sided Black Eyebrows and Goatee, Dark Tan Cheek Lines and Chin Dimple, Neutral / Scowl with Third Eye Pattern","2022"
"75","3626pb3123","Minifigure, Head Dual Sided Black Eyebrows and Moustache, Dark Brown Contour Lines, Sad / Raised Eyebrow Right Pattern","2022"
"76","3626pb3157","Minifigure, Head Dual Sided Black Eyebrows and Stubble, Neutral / Lopsided Open Mouth Pattern","2022"
"77","3626pb2997","Minifigure, Head Dual Sided Black Eyebrows Raised and Eyes with White Pupils, Open Mouth / Worried Pattern","2022"
"78","3626pb3150","Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Chin Dimple, Orange Goggles, Grin / Frown Pattern","2022"
"79","3626pb3090","Minifigure, Head Dual Sided Black Eyebrows, Curly Moustache, Van Dyke Beard, Bright Pink Cheeks, Neutral / Smile with Teeth Pattern","2022"
"80","3626pb3040","Minifigure, Head Dual Sided Black Eyebrows, Dark Bluish Gray Beard, Neutral / Sneer with Teeth Pattern","2022"
"81","3626pb3059","Minifigure, Head Dual Sided Black Eyebrows, Dark Brown Beard, Crow's Feet, Neutral / Fierce Pattern","2022"
"82","3626pb3195","Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Cheek Lines and Chin Dimple, Scowl / Smirk with Raised Eyebrow Left Pattern","2022"
"83","3626pb3194","Minifigure, Head Dual Sided Black Eyebrows, Dark Turquoise and White 'V' Facepaint, Open Smile / Singing with Closed Eyes Pattern","2022"
"84","3626pb3025","Minifigure, Head Dual Sided Black Eyebrows, Gap in Teeth, Stubble, Lopsided Smile / Scared Pattern","2022"
"85","3626pb2971","Minifigure, Head Dual Sided Black Eyebrows, Glasses with Raised Eyebrows / Asleep with Glasses Crooked Pattern","2022"
"86","3626pb3153","Minifigure, Head Dual Sided Black Eyebrows, Glasses, and Full Beard, Smile with Teeth / Pucker Pattern","2022"
"87","3626pb3159","Minifigure, Head Dual Sided Black Eyebrows, Glasses, and Stubble, Neutral / Scared with Open Mouth Pattern","2022"
"88","3626pb3033","Minifigure, Head Dual Sided Black Eyebrows, Glasses, Cheek Lines, Water Drops, Scared / Terrified Pattern","2022"
"89","3626pb3154","Minifigure, Head Dual Sided Black Eyebrows, Glasses, Stubble, Lopsided Grin / Smile with Teeth Pattern","2022"
"90","3626pb3013","Minifigure, Head Dual Sided Black Eyebrows, Medium Nougat Chin Dimple, Firm / Smile with Teeth and Raised Left Eyebrow Pattern","2022"
"91","3626pb3126","Minifigure, Head Dual Sided Black Eyebrows, Medium Nougat Contour Lines, Open Mouth Smile with Teeth and Tongue / Worried Pattern","2022"
"92","3626pb2974","Minifigure, Head Dual Sided Black Eyebrows, Medium Nougat Freckles and Eye Bags, Open Mouth Smile with Teeth / Worried Pattern","2022"
"93","3626pb3030","Minifigure, Head Dual Sided Black Eyebrows, Moustache, and Goatee, Medium Nougat Cheek Lines and Wrinkles, Open Mouth Smile with Teeth / Scowl Pattern","2022"
"94","3626pb3117","Minifigure, Head Dual Sided Black Eyebrows, Neutral with Stubble / Surprised with Black Glasses and Lightning Scar Pattern","2022"
"95","3626pb3084","Minifigure, Head Dual Sided Black Eyebrows, Open Mouth with Teeth and Tongue, Wide Smile / Scared Pattern","2022"
"96","3626pb3070","Minifigure, Head Dual Sided Black Eyebrows, Red Forehead Mark, Frown / Small Open Smile with Teeth and Tongue Pattern","2022"
"97","3626pb3124","Minifigure, Head Dual Sided Black Eyebrows, Reddish Brown Contour Lines, Raised Eyebrow Left / Slight Open Mouth Grin with Teeth Pattern","2022"
"98","3626pb3092","Minifigure, Head Dual Sided Black Eyebrows, Smile with Teeth and Tongue / Scowl Pattern","2022"
"99","3626pb3072","Minifigure, Head Dual Sided Black Thick Eyebrows, Cheek Lines, Bared Teeth with Forehead Jewel / Open Mouth with Red Tongue Pattern","2022"
