"","Description","ItemNo","Link","Quantity","NumberSets","ColorID","PriceLink","current_new_avg","current_new_min","current_new_max","past_new_avg","past_new_min","past_new_max"
"1","Dark Orange Minifigure, Head Dual Sided Black Eyebrows and Glasses, Reddish Brown Chin Dimple, Closed Mouth Smile / Open Mouth Grin with Teeth and Red Tongue Pattern ","3626pb3739","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3739&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3739&ColorID=68","US $1.74","US $0.82","US $3.31","US $1.55","US $0.79","US $1.97"
"2","Dark Orange Minifigure, Head Dual Sided Black Eyebrows, Stubble and Goatee, Reddish Brown Cheek Lines, Smirk / Open Mouth Smile with Teeth Pattern ","3626pb3728","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3728&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3728&ColorID=68","US $1.81","US $1.09","US $3.39","US $1.58","US $0.81","US $2.68"
"3","Dark Orange Minifigure, Head Dual Sided Dark Brown Eyebrows and Beard, Neutral / Open Mouth Scowl with Teeth Pattern ","3626pb3730","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3730&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3730&ColorID=68","US $1.79","US $0.87","US $3.54","US $1.67","US $1.01","US $2.73"
"4","Dark Orange Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Nougat Lips, Reddish Brown Cheek Lines and Crow's Feet, Closed Mouth Smile / Open Mouth Grin with Teeth and Red Tongue Pattern ","3626pb3740","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3740&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3740&ColorID=68","US $1.88","US $0.87","US $3.60","US $1.75","US $1.01","US $2.79"
"5","Dark Orange Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Reddish Brown Freckles, Dark Brown Lips, Neutral / Open Mouth Smile with Teeth Pattern ","3626pb3745","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3745&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3745&ColorID=68","US $1.76","US $1.04","US $3.36","US $1.56","US $0.93","US $2.56"
"6","Dark Orange Minifigure, Head Dual Sided Female Black Eyebrows, Gold Glasses, Dark Red Lips, Closed Mouth / Wink, Open Mouth Grin with Teeth Pattern ","3626pb3720","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3720&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3720&ColorID=68","US $1.69","US $0.81","US $3.24","US $1.55","US $0.95","US $2.49"
"7","Dark Orange Minifigure, Head Dual Sided Reddish Brown Eyebrows and Freckles, Open Mouth Smile with Teeth and Red Tongue / Smirk Pattern ","3626pb3722","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3722&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3722&ColorID=68","US $1.78","US $0.81","US $3.39","US $1.62","US $0.94","US $2.05"
"8","Light Nougat Minifigure, Head Black Eyebrows, Moustache and Beard, Medium Nougat Forehead and Cheek Lines, Chin Dimple, Open Mouth Smile Pattern ","3626pb3280","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3280&idColor=90",1,"2","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3280&ColorID=90","US $2.23","US $0.63","US $15.84","US $1.73","US $0.58","US $4.18"
"9","Light Nougat Minifigure, Head Dual Sided Black Eyebrows, Peach Lips, Grin / Raised Eyebrows, Open Mouth Smile with Teeth and Red Tongue Pattern ","3626pb3744","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3744&idColor=90",1,"1","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3744&ColorID=90","US $2.16","US $1.20","US $4.01","US $1.91","US $1.15","US $2.70"
"10","Light Nougat Minifigure, Head Dual Sided Dark Brown Eyebrows, Nougat Dimples, Open Mouth Smile with Teeth and Tongue / Wink Right Pattern ","3626pb3289","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3289&idColor=90",1,"2","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3289&ColorID=90","US $3.29","US $1.45","US $23.13","US $2.69","US $0.50","US $4.38"
