"","Name","gender","total"
"1","Yellow","male",380
"2","Light Nougat","no tag",364
"3","Yellow","no tag",359
"4","Light Nougat","male",311
"5","Yellow","female",267
"6","Light Nougat","female",211
"7","Reddish Brown","no tag",30
"8","Reddish Brown","male",29
"9","Nougat","no tag",27
"10","Reddish Brown","female",24
"11","Medium Nougat","female",23
"12","Medium Tan","female",21
"13","Nougat","female",21
"14","Nougat","male",20
"15","Brown","no tag",18
"16","Medium Nougat","no tag",18
"17","Medium Nougat","male",16
"18","Medium Tan","no tag",11
"19","Medium Brown","female",10
"20","Medium Tan","male",8
"21","Medium Brown","no tag",7
"22","Red","no tag",7
"23","Medium Brown","male",6
"24","Light Bluish Gray","no tag",5
"25","Light Bluish Gray","female",4
"26","Light Bluish Gray","male",4
"27","Tan","no tag",4
"28","Tan","female",3
"29","Pearl Dark Gray","no tag",2
"30","Tan","male",2
"31","Light Brown","male",1
"32","Light Brown","no tag",1
"33","Red","female",1
"34","Sienna","no tag",1
