...1,item_number,description,category,item_link
1,js019,"Airplane Pilot with Black Pants, Black Shirt and Black Cap with Logo",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js019
2,js008,"Aviator, Tan Pants and Brown Jacket",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js008
3,js017,"Bank Robber with Dark Gray Legs, Red Shirt and Blue Cap",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js017
4,js011,Bank Robber with Red Legs and Black Hair,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js011
5,4j003a,"Construction Worker with Blue Shirt, Green Vest and Cap with the Word 'Brick', Sunglasses and Moustache",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j003a
6,4j003,"Construction Worker with Blue Shirt, Green Vest and Cap, Sunglasses and Moustache",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j003
7,js022,"Crewman with Blue Overalls, Red Shirt",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js022
8,js023,"Crewman with Dark Turquoise Shirt and Pants, Tan Arms",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js023
9,js027,"Crewman with Dark Turquoise Vest and Pants, Red Arms",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js027
10,4j005a,Dr. Octopus (Otto Octavius) / Doc Ock (Junior-fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j005a
11,4j005,Dr. Octopus (Otto Octavius) / Doc Ock with Grabber Arms (Junior-fig),4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j005
12,js001,Fireman in Hat #01,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js001
13,js007,Fireman in Hat #07,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js007
14,js020,"Jack Stone - Black Jacket, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js020
15,js028,"Jack Stone - Black Jacket, Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js028
16,js009,"Jack Stone - Black Jacket, Blue Legs, Blue Sash",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js009
17,js013,"Jack Stone - Black Jacket, Blue Legs, Blue Vest",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js013
18,js026,"Jack Stone - Blue Jacket, Blue Pants",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js026
19,js002,"Jack Stone - Blue Jacket, Blue Pants, Gray Shirt",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js002
20,js004,"Jack Stone - Gray Jacket, Blue legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js004
21,js021,Jack Stone - Green Jacket,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js021
22,js025,Jack Stone - Orange Jacket,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js025
23,js015,"Jack Stone - Red Jacket, Blue Overalls and Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=js015
24,cre002,"Jake, Light Gray Torso, Brown Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre002
25,cre006,"Lee, Orange Hair, Black Legs, Black and White Torso",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre006
26,cre004,"Max, Black Torso, Light Gray Arms, Blue Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre004
27,cre003,"Max, Blue Torso, Black Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre003
