item_number,description,category,gender,item_link,parts_link,temp,gender2,release_year
cty0869,"Mountain Police - Officer Female, Dark Blue Hat with Dark Orange Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0869,https://www.bricklink.com/catalogItemInv.asp?M=cty0869,"NA",female,2018
cty0854,"Mountain Police - Officer Female, Dirt Bike",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0854,https://www.bricklink.com/catalogItemInv.asp?M=cty0854,"NA",female,2018
cty0852,"Mountain Police - Officer Female, Helicopter Pilot",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0852,https://www.bricklink.com/catalogItemInv.asp?M=cty0852,"NA",female,2018
cty0832,"Mountain Police - Officer Female, Pilot with Helmet and Visor",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0832,https://www.bricklink.com/catalogItemInv.asp?M=cty0832,"NA",female,2018
cty0855,Mountain Police - Officer Male,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0855,https://www.bricklink.com/catalogItemInv.asp?M=cty0855,"NA",male,2018
cty0887,"Mountain Police - Officer Male, Beard, Dark Blue Cap, Sand Blue Jacket",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0887,https://www.bricklink.com/catalogItemInv.asp?M=cty0887,"NA",male,2018
cty0883,"Mountain Police - Officer Male, Dark Blue Cap, Sand Blue Jacket",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0883,https://www.bricklink.com/catalogItemInv.asp?M=cty0883,"NA",male,2018
cty0830,"Mountain Police - Officer Male, Dirt Bike",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0830,https://www.bricklink.com/catalogItemInv.asp?M=cty0830,"NA",male,2018
cty0853,"Mountain Police - Officer Male, Jacket with Harness",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0853,https://www.bricklink.com/catalogItemInv.asp?M=cty0853,"NA",male,2018
cty0946,"Mountain Police - Officer Male, Jacket with Harness, Dark Tan Hat",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0946,https://www.bricklink.com/catalogItemInv.asp?M=cty0946,"NA",male,2018
cty1091,"Mountain Police - Officer Male, Orange Sunglasses",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1091,https://www.bricklink.com/catalogItemInv.asp?M=cty1091,"NA",male,2015
cty0837,"Mountain Police - Officer Male, Speed Boat with Life Jacket Center Buckle",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0837,https://www.bricklink.com/catalogItemInv.asp?M=cty0837,"NA",male,2018
cty0868,"Mountain Police - Officer Male, White Helmet and Smirk",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0868,https://www.bricklink.com/catalogItemInv.asp?M=cty0868,"NA",male,2018
cty0870,Mountain Police - Police Chief Male,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0870,https://www.bricklink.com/catalogItemInv.asp?M=cty0870,"NA",male,2018
cty0360,Police - LEGO City Undercover Elite Police Officer 1 - Brown Beard,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0360,https://www.bricklink.com/catalogItemInv.asp?M=cty0360,"NA",male,2013
cty0360a,Police - LEGO City Undercover Elite Police Officer 1 - Black Beard,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0360a,https://www.bricklink.com/catalogItemInv.asp?M=cty0360a,"NA",male,2013
cty1132,"Police - ATV Driver Female, Leather Jacket with Gold Badge and Utility Belt, White Helmet, Trans-Clear Visor, Peach Lips Smirk",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1132,https://www.bricklink.com/catalogItemInv.asp?M=cty1132,"NA",female,2020
cty0451,Police - City Bandit Female,Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0451,https://www.bricklink.com/catalogItemInv.asp?M=cty0451,"NA",female,2014
cty0755,"Police - City Bandit Female with Green Overalls, Black Mid-Length Tousled Hair, Backpack, Peach Lips Open Mouth Smile",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0755,https://www.bricklink.com/catalogItemInv.asp?M=cty0755,"NA",female,2017
cty0745,"Police - City Bandit Female with Green Overalls, Dark Orange Female Hair over Shoulder, Peach Lips Smirk",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0745,https://www.bricklink.com/catalogItemInv.asp?M=cty0745,"NA",female,2017
cty0753,"Police - City Bandit Female, Black Eye Mask",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0753,https://www.bricklink.com/catalogItemInv.asp?M=cty0753,"NA",female,2017
cty0456,Police - City Bandit Male with Black Stubble and Aviator Cap,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0456,https://www.bricklink.com/catalogItemInv.asp?M=cty0456,"NA",male,2014
cty0452,Police - City Bandit Male with Black Stubble and Backpack,Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0452,https://www.bricklink.com/catalogItemInv.asp?M=cty0452,"NA",male,2014
