sets_id,sets_cat,set_link,mini_link,mini_id,parts_link,parts_id,parts_description
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,doc010,https://www.bricklink.com/catalogItemInv.asp?M=doc010,970c00,White Hips  and Legs Plain 
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,doc010,https://www.bricklink.com/catalogItemInv.asp?M=doc010,4485pb02,"White Minifigure, Headgear Cap - Long Flat Bill with Blue EMT Star of Life Pattern "
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,doc010,https://www.bricklink.com/catalogItemInv.asp?M=doc010,973px168c01,"White Torso Hospital EMT Star of Life, Open Collar, Pocket Pen Pattern / White Arms / Yellow Hands "
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,doc010,https://www.bricklink.com/catalogItemInv.asp?M=doc010,3626bp04,"Yellow Minifigure, Head Glasses with Black Sunglasses and Standard Grin Pattern - Blocked Open Stud "
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,fbr002,https://www.bricklink.com/catalogItemInv.asp?M=fbr002,4530,"Black Minifigure, Hair Female "
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,fbr002,https://www.bricklink.com/catalogItemInv.asp?M=fbr002,970c00,Red Hips  and Legs Plain 
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,fbr002,https://www.bricklink.com/catalogItemInv.asp?M=fbr002,3626bp02,"Yellow Minifigure, Head Female with Red Lips, Eyelashes (Standard Woman Pattern) - Blocked Open Stud "
6666-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6666-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6666-1&viewItemType=M,fbr002,https://www.bricklink.com/catalogItemInv.asp?M=fbr002,973pb0061c01,Yellow Torso Paradisa Red Halter Top Pattern / Yellow Arms / Yellow Hands 
6410-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6410-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6410-1&viewItemType=M,par006,https://www.bricklink.com/catalogItemInv.asp?M=par006,973pb018c01,Pink Torso Paradisa Pink Shirt Tied at Bottom with Blue Flowers Pattern / Yellow Arms / Yellow Hands 
6410-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6410-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6410-1&viewItemType=M,par006,https://www.bricklink.com/catalogItemInv.asp?M=par006,6093,"Red Minifigure, Hair Female Ponytail "
6410-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6410-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6410-1&viewItemType=M,par006,https://www.bricklink.com/catalogItemInv.asp?M=par006,970c03,White Hips and Yellow Legs 
6410-1,Town,https://www.bricklink.com/v2/catalog/catalogitem.page?S=6410-1#T=S&O={%22iconly%22:0},https://www.bricklink.com/catalogItemInv.asp?S=6410-1&viewItemType=M,par006,https://www.bricklink.com/catalogItemInv.asp?M=par006,3626bp02,"Yellow Minifigure, Head Female with Red Lips, Eyelashes (Standard Woman Pattern) - Blocked Open Stud "
