item_number,description,category,price_guide_link,past_used_avg,past_used_min,past_used_max,current_used_avg,current_used_min,current_used_max,past_new_avg,past_new_min,past_new_max,current_new_avg,current_new_min,current_new_max
sw0006,Aldar Beedo,Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0006,US $7.04,US $4.50,US $14.20,US $10.71,US $5.39,US $49.99,US $14.76,US $13.28,US $20.00,US $22.55,US $13.24,US $46.35
sw0979,Aldar Beedo (One Piece),Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0979,US $62.23,US $33.99,US $104.78,US $60.51,US $13.80,US $101.22,US $133.56,US $82.49,US $182.51,US $151.42,US $100.00,US $199.99
sw0007,Anakin Skywalker (Brown Aviator Cap),Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0007,US $3.48,US $1.38,US $9.00,US $4.53,US $1.44,US $24.31,US $8.60,US $6.81,US $13.37,US $11.93,US $4.99,US $27.81
sw0008,Anakin Skywalker (Light Gray Aviator Cap),Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0008,US $3.44,US $1.00,US $8.99,US $4.95,US $2.00,US $73.00,US $8.60,US $4.99,US $14.99,US $14.33,US $5.99,US $67.73
sw0159,Anakin Skywalker (Short Legs),Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw0640,"Anakin Skywalker (Short Legs, Detailed Shirt)",Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw0349,"Anakin Skywalker (Short Legs, Hair)",Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw0327,"Anakin Skywalker (Short Legs, Helmet)",Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw1001,"Anakin Skywalker (Short Legs, Reddish Brown Aviator Cap)",Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw1001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw0306,Aurra Sing - Large Eyes,Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sw0048,Battle Droid Commander,Star Wars Episode 1,https://www.bricklink.com/catalogPG.asp?M=sw0048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
